symbol,name,country,cap,shares-old,currency,shares,indicies
6758.TSE,Sony,Japan,Blue Chip,1233980032,JPY,1233980032,"[video-new]"
7060.TSE,geechs,Japan,Micro Cap,10021200,JPY,10021200,"[video-new]"
7552.TSE,Happinet,Japan,Small Cap,22188700,JPY,22188700,"[video-new]"
7803.TSE,Bushiroad,Japan,Small Cap,67892096,JPY,67892096,"[video-new]"
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY,660049984,"[video-new]"
7844.TSE,Marvelous,Japan,Small Cap,60468600,JPY,60468600,"[video-new]"
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY,1164230016,"[video-new]"
9421.TSE,NJ Holdings,Japan,Micro Cap,5292850,JPY,5292850,"[video-new]"
9468.TSE,Kadokawa,Japan,Mid Cap,140604000,JPY,140604000,"[video-new]"
9684.TSE,Square Enix,Japan,Mid Cap,119729000,JPY,119729000,"[video-new]"
9697.TSE,Capcom,Japan,Mid Cap,209112992,JPY,209112992,"[video-new]"
9766.TSE,Konami Holdings,Japan,Mid Cap,135559008,JPY,135559008,"[video-new]"
GIGM,GigaMedia,Taiwan,Micro Cap,11052200,USD,11052200,"[video-new]"
GRVY,Gravity Co.,South Korea,Small Cap,6948900,USD,6948900,"[video-new]"
