name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Taiwan Semiconductor Manufacturing Company Limited ,2330.TW,Taiwan,Semiconductors,421196,71486,25932
Samsung Electronics Co. Ltd. ,005930.KO,South Korea,Technology Hardware Storage and Peripherals,334447,205756,6793
Toyota Motor Corporation ,7203.TSE,Japan,Automobile Manufacturers,244976,271190,13522
Mitsubishi UFJ Financial Group Inc. ,8306.TSE,Japan,Diversified Banks,104451,41081,12024
Nippon Telegraph and Telephone Corporation ,9432.TSE,Japan,Integrated Telecommunication Services,102204,91146,85235
Sony Group Corporation ,6758.TSE,Japan,Consumer Electronics,100937,84889,1233
Keyence Corporation ,6861.TSE,Japan,Electronic Equipment and Instruments,89905,6739,243
LG Energy Solution Ltd. ,373220.KO,South Korea,Electrical Components and Equipment,82288,25592,234
Mitsubishi Corporation ,8058.TSE,Japan,Trading Companies and Distributors,67833,144304,1397
Sumitomo Mitsui Financial Group Inc. ,8316.TSE,Japan,Diversified Banks,66953,24998,1334
Fast Retailing Co. Ltd. ,9983.TSE,Japan,Apparel Retail,66785,19178,307
KDDI Corporation ,9433.TSE,Japan,Wireless Telecommunication Services,66107,39096,2157
Tokyo Electron Limited ,8035.TSE,Japan,Semiconductor Materials and Equipment,61766,14712,463
SoftBank Group Corp. ,9984.TSE,Japan,Wireless Telecommunication Services,61731,45343,1464
Hitachi Ltd. ,6501.TSE,Japan,Industrial Conglomerates,59975,73547,929
SK hynix Inc. ,000660.KO,South Korea,Semiconductors,58243,23574,688
Shin-Etsu Chemical Co. Ltd. ,4063.TSE,Japan,Specialty Chemicals,58056,19029,2008
Honda Motor Co. Ltd. ,7267.TSE,Japan,Automobile Manufacturers,56832,122441,4905
Mitsui & Co. Ltd. ,8031.TSE,Japan,Trading Companies and Distributors,54188,94996,1462
SoftBank Corp. ,9434.TSE,Japan,Wireless Telecommunication Services,54098,41357,4736
ITOCHU Corporation ,8001.TSE,Japan,Trading Companies and Distributors,53926,96249,1453
Oriental Land Co. Ltd. ,4661.TSE,Japan,Leisure Facilities,53794,3635,1638
Daiichi Sankyo Company Limited ,4568.TSE,Japan,Pharmaceuticals,53773,9330,1917
Chugai Pharmaceutical Co. Ltd. ,4519.TSE,Japan,Pharmaceuticals,50857,8600,1645
DENSO Corporation ,6902.TSE,Japan,Automotive Parts and Equipment,50215,46334,2995
Recruit Holdings Co. Ltd. ,6098.TSE,Japan,Human Resource and Employment Services,48633,23773,1582
Takeda Pharmaceutical Company Limited ,4502.TSE,Japan,Pharmaceuticals,48626,28451,1555
Nintendo Co. Ltd. ,7974.TSE,Japan,Interactive Home Entertainment,47952,12142,1164
Tokio Marine Holdings Inc. ,8766.TSE,Japan,Property and Casualty Insurance,47038,47154,1983
Daikin IndustriesLtd. ,6367.TSE,Japan,Building Products,45948,28416,293
Mizuho Financial Group Inc. ,8411.TSE,Japan,Diversified Banks,44098,19131,2535
Hon Hai Precision Industry Co. Ltd. ,2317.TW,Taiwan,Electronic Manufacturing Services,42526,207790,13167
Japan Tobacco Inc. ,2914.TSE,Japan,Tobacco,41202,19254,1775
MediaTek Inc. ,2454.TW,Taiwan,Semiconductors,36333,14250,1592
HOYA Corporation ,7741.TSE,Japan,Health Care Supplies,35788,5019,352
Samsung Biologics Co.Ltd. ,207940.KO,South Korea,Life Sciences Tools and Services,35771,2601,71
Seven & i Holdings Co. Ltd. ,3382.TSE,Japan,Food Retail,35268,85992,883
Murata Manufacturing Co. Ltd. ,6981.TSE,Japan,Electronic Components,33960,11190,1889
JAPAN POST BANK Co. Ltd. ,7182.TSE,Japan,Diversified Banks,32139,11226,3616
Hyundai Motor Company ,005380.KO,South Korea,Automobile Manufacturers,30313,118639,225
POSCO Holdings Inc. ,005490.KO,South Korea,Steel,29958,60668,76
SMC Corporation ,6273.TSE,Japan,Industrial Machinery and Supplies and Components,28820,5619,65
Quanta Computer Inc. ,2382.TW,Taiwan,Technology Hardware Storage and Peripherals,28670,39122,3855
Chunghwa Telecom Co. Ltd. ,2412.TW,Taiwan,Integrated Telecommunication Services,27946,7080,7757
LG Chem Ltd. ,051910.KO,South Korea,Commodity Chemicals,27635,43321,78
Japan Post Holdings Co. Ltd. ,6178.TSE,Japan,Life and Health Insurance,27449,77556,3358
Bridgestone Corporation ,5108.TSE,Japan,Tires and Rubber,27148,29916,685
Panasonic Holdings Corporation ,6752.TSE,Japan,Consumer Electronics,27131,58338,2334
Marubeni Corporation ,8002.TSE,Japan,Trading Companies and Distributors,27024,57405,1683
Komatsu Ltd. ,6301.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,26454,25447,946
Renesas Electronics Corporation ,6723.TSE,Japan,Semiconductors,26402,10416,1765
Mitsubishi Electric Corporation ,6503.TSE,Japan,Heavy Electrical Equipment,26293,35663,2101
Nidec Corporation ,6594.TSE,Japan,Electrical Components and Equipment,26271,15690,575
Delta Electronics Inc. ,2308.TW,Taiwan,Electronic Components,26177,13004,2598
Sumitomo Corporation ,8053.TSE,Japan,Trading Companies and Distributors,25195,47543,1222
Astellas Pharma Inc. ,4503.TSE,Japan,Pharmaceuticals,25080,10456,1793
Samsung SDI Co. Ltd. ,006400.KO,South Korea,Electronic Components,24984,17106,67
Toyota Industries Corporation ,6201.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,24746,24274,311
Fanuc Corporation ,6954.TSE,Japan,Industrial Machinery and Supplies and Components,24671,5825,953
Fubon Financial Holding Co. Ltd. ,2881.TW,Taiwan,Life and Health Insurance,24535,21715,13015
Central Japan Railway Company ,9022.TSE,Japan,Rail Transportation,24237,10278,984
Canon Inc. ,7751.TSE,Japan,Technology Hardware Storage and Peripherals,24025,28670,979
Formosa Petrochemical Corporation ,6505.TW,Taiwan,Oil and Gas Refining and Marketing,23845,24616,9526
Kia Corporation ,000270.KO,South Korea,Automobile Manufacturers,23734,73086,395
FUJIFILM Holdings Corporation ,4901.TSE,Japan,Technology Hardware Storage and Peripherals,23234,20016,401
Fujitsu Limited ,6702.TSE,Japan,IT Consulting and Other Services,22685,25553,188
Nippon Steel Corporation ,5401.TSE,Japan,Steel,22440,57103,921
NAVER Corporation ,035420.KO,South Korea,Interactive Media and Services,22359,6847,150
ORIX Corporation ,8591.TSE,Japan,Diversified Financial Services,21996,18574,1163
East Japan Railway Company ,9020.TSE,Japan,Rail Transportation,21668,17135,377
Unicharm Corporation ,8113.TSE,Japan,Household Products,21043,6435,590
Toyota Tsusho Corporation ,8015.TSE,Japan,Trading Companies and Distributors,20992,69258,352
Mitsui Fudosan Co. Ltd. ,8801.TSE,Japan,Diversified Real Estate Activities,20781,15588,934
Posco Future M Co. Ltd. ,003670.KO,South Korea,Electrical Components and Equipment,20537,3160,77
Z Holdings Corporation ,4689.TSE,Japan,Interactive Media and Services,20482,11843,7498
Dai-ichi Life Holdings Inc. ,8750.TSE,Japan,Life and Health Insurance,20407,65153,983
Inpex Corporation ,1605.TSE,Japan,Oil and Gas Exploration and Production,20312,15942,1306
Cathay Financial Holding Co. Ltd. ,2882.TW,Taiwan,Life and Health Insurance,20296,20965,14669
MS&AD Insurance Group Holdings Inc. ,8725.TSE,Japan,Property and Casualty Insurance,20148,41014,530
Advantest Corporation ,6857.TSE,Japan,Semiconductor Materials and Equipment,20061,3635,738
Ajinomoto Co. Inc. ,2802.TSE,Japan,Packaged Foods and Meats,19743,9524,520
Terumo Corporation ,4543.TSE,Japan,Health Care Equipment,19584,5797,745
Suzuki Motor Corporation ,7269.TSE,Japan,Automobile Manufacturers,19563,33110,482
Otsuka Holdings Co. Ltd. ,4578.TSE,Japan,Pharmaceuticals,19387,12942,543
Disco Corporation ,6146.TSE,Japan,Semiconductor Materials and Equipment,19354,1925,108
Mitsubishi Heavy Industries Ltd. ,7011.TSE,Japan,Industrial Machinery and Supplies and Components,19110,29847,336
Asahi Group Holdings Ltd. ,2502.TSE,Japan,Brewers,19064,18071,507
NTT DATA Group Corporation ,9613.TSE,Japan,IT Consulting and Other Services,18904,26474,1402
Ecopro BM. Co. Ltd. ,247540.KQ,South Korea,Electrical Components and Equipment,18234,5638,98
Nissan Motor Co. Ltd. ,7201.TSE,Japan,Automobile Manufacturers,17871,78688,3915
Kyocera Corporation ,6971.TSE,Japan,Electronic Components,17773,13921,353
Daiwa House Industry Co. Ltd. ,1925.TSE,Japan,Diversified Real Estate Activities,17739,35377,657
Kubota Corporation ,6326.TSE,Japan,Agricultural and Farm Machinery,17606,20323,1177
United Microelectronics Corporation ,2303.TW,Taiwan,Semiconductors,17551,8141,12503
Ecopro Co. Ltd. ,086520.KQ,South Korea,Commodity Chemicals,17520,5929,26
Kao Corporation ,4452.TSE,Japan,Personal Care Products,17398,10760,465
Aeon Co. Ltd. ,8267.TSE,Japan,Consumer Staples Merchandise Retail,17181,66122,855
Mitsubishi Estate Co. Ltd. ,8802.TSE,Japan,Diversified Real Estate Activities,16733,9440,1277
Mega Financial Holding Co. Ltd. ,2886.TW,Taiwan,Diversified Banks,16452,1926,14051
Nan Ya Plastics Corporation ,1303.TW,Taiwan,Commodity Chemicals,16404,9236,7931
Olympus Corporation ,7733.TSE,Japan,Health Care Equipment,16229,6056,1228
Hyundai Mobis Co.Ltd ,012330.KO,South Korea,Automotive Parts and Equipment,16171,44524,91
Nippon Paint Holdings Co. Ltd. ,4612.TSE,Japan,Specialty Chemicals,16046,9544,2349
Eisai Co. Ltd. ,4523.TSE,Japan,Pharmaceuticals,15991,5236,287
Nomura Research Institute Ltd. ,4307.TSE,Japan,IT Consulting and Other Services,15861,4851,588
Formosa Plastics Corporation ,1301.TW,Taiwan,Commodity Chemicals,15776,6653,6366
KB Financial Group Inc. ,105560.KO,South Korea,Diversified Banks,15682,10710,384
NEXON Co. Ltd. ,3659.TSE,Japan,Interactive Home Entertainment,14990,2746,854
CTBC Financial Holding Co. Ltd. ,2891.TW,Taiwan,Diversified Banks,14901,10435,19584
Subaru Corporation ,7270.TSE,Japan,Automobile Manufacturers,14852,27821,758
Sompo Holdings Inc. ,8630.TSE,Japan,Property and Casualty Insurance,14722,32775,329
NEC Corporation ,6701.TSE,Japan,IT Consulting and Other Services,14654,23238,267
ASE Technology Holding Co. Ltd. ,3711.TW,Taiwan,Semiconductors,14634,20315,4303
Celltrion Inc. ,068270.KO,South Korea,Biotechnology,14615,1729,142
SECOM CO. LTD. ,9735.TSE,Japan,Security and Alarm Services,14584,7748,213
Kakao Corp. ,035720.KO,South Korea,Interactive Media and Services,14197,5630,438
Lasertec Corporation ,6920.TSE,Japan,Semiconductor Materials and Equipment,14092,1057,90
Shiseido Company Limited ,4911.TSE,Japan,Personal Care Products,14092,7388,400
Sumitomo Mitsui Trust Holdings Inc. ,8309.TSE,Japan,Diversified Banks,14034,7886,363
TDK Corporation ,6762.TSE,Japan,Electronic Components,13759,15034,379
OBIC Co.Ltd. ,4684.TSE,Japan,IT Consulting and Other Services,13608,714,89
BANDAI NAMCO Holdings Inc. ,7832.TSE,Japan,Leisure Products,13575,6907,660
Shinhan Financial Group Co. Ltd. ,055550.KO,South Korea,Diversified Banks,13544,20150,516
Nippon Yusen Kabushiki Kaisha ,9101.TSE,Japan,Marine Transportation,13391,17364,496
Resona Holdings Inc. ,8308.TSE,Japan,Regional Banks,13320,5432,2348
Toshiba Corporation ,6502.TSE,Japan,Industrial Conglomerates,13271,23279,430
Sekisui House Ltd. ,1928.TSE,Japan,Homebuilding,13130,20879,650
Shionogi & Co. Ltd. ,4507.TSE,Japan,Pharmaceuticals,13094,3210,292
The Kansai Electric Power Company Incorporated ,9503.TSE,Japan,Electric Utilities,13044,28709,893
Samsung C&T Corporation ,028260.KO,South Korea,Industrial Conglomerates,12867,32442,162
LG Electronics Inc. ,066570.KO,South Korea,Consumer Electronics,12702,63359,180
Nitori Holdings Co. Ltd. ,9843.TSE,Japan,Homefurnishing Retail,12647,6113,113
Shinkin Central Bank ,8421.TSE,Japan,Specialized Finance,12418,1791,7
Pan Pacific International Holdings Corporation ,7532.TSE,Japan,Broadline Retail,12403,13396,597
Nomura Holdings Inc. ,8604.TSE,Japan,Investment Banking and Brokerage,12395,9562,3031
Sumitomo Realty & Development Co. Ltd. ,8830.TSE,Japan,Diversified Real Estate Activities,12394,6567,474
Uni-President Enterprises Corp. ,1216.TW,Taiwan,Packaged Foods and Meats,12370,17290,5682
ENEOS Holdings Inc. ,5020.TSE,Japan,Oil and Gas Refining and Marketing,12245,101530,3015
M3 Inc. ,2413.TSE,Japan,Health Care Technology,12230,1599,679
Shimano Inc. ,7309.TSE,Japan,Leisure Products,12163,4070,90
China Steel Corporation ,2002.TW,Taiwan,Steel,12088,12430,15415
E.SUN Financial Holding Company Ltd. ,2884.TW,Taiwan,Diversified Banks,11797,1887,15664
Taiwan Cooperative Financial Holding Co. Ltd. ,5880.TW,Taiwan,Diversified Banks,11695,1815,14709
Kirin Holdings Company Limited ,2503.TSE,Japan,Brewers,11506,14128,810
Hotai Motor Co.Ltd. ,2207.TW,Taiwan,Automotive Retail,11332,8564,557
First Financial Holding Co. Ltd. ,2892.TW,Taiwan,Diversified Banks,11230,2023,13620
Formosa Chemicals & Fibre Corporation ,1326.TW,Taiwan,Commodity Chemicals,11171,10745,5849
Mitsui O.S.K. Lines Ltd. ,9104.TSE,Japan,Marine Transportation,10514,11221,362
Aisin Corporation ,7259.TSE,Japan,Automotive Parts and Equipment,10432,31792,270
Nippon Sanso Holdings Corporation ,4091.TSE,Japan,Industrial Gases,10337,8435,433
West Japan Railway Company ,9021.TSE,Japan,Rail Transportation,10267,10151,244
Chubu Electric Power Company Incorporated ,9502.TSE,Japan,Electric Utilities,10168,28484,756
Chailease Holding Company Limited ,5871.TW,Taiwan,Specialized Finance,10063,2028,1790
Kikkoman Corporation ,2801.TSE,Japan,Packaged Foods and Meats,10007,4355,191
Sysmex Corporation ,6869.TSE,Japan,Health Care Equipment,9984,2904,209
Isuzu Motors Limited ,7202.TSE,Japan,Automobile Manufacturers,9964,22705,775
ANA Holdings Inc. ,9202.TSE,Japan,Passenger Airlines,9907,12575,468
Yuanta Financial Holding Co. Ltd. ,2885.TW,Taiwan,Diversified Financial Services,9872,4269,12689
LG Corp. ,003550.KO,South Korea,Industrial Conglomerates,9863,5475,160
Mitsubishi HC Capital Inc. ,8593.TSE,Japan,Specialized Finance,9847,13229,1436
Japan Exchange Group Inc. ,8697.TSE,Japan,Financial Exchanges and Data,9719,950,520
SK Innovation Co. Ltd. ,096770.KO,South Korea,Oil and Gas Refining and Marketing,9655,60558,88
Sumitomo Electric Industries Ltd. ,5802.TSE,Japan,Automotive Parts and Equipment,9578,28513,780
Suntory Beverage & Food Limited ,2587.TSE,Japan,Soft Drinks and Non-alcoholic Beverages,9543,10517,309
Kyowa Kirin Co. Ltd. ,4151.TSE,Japan,Pharmaceuticals,9508,2852,538
Tokyo Gas Co.Ltd. ,9531.TSE,Japan,Gas Utilities,9501,23027,421
Oracle Corporation Japan ,4716.TSE,Japan,Systems Software,9458,1602,128
YASKAWA Electric Corporation ,6506.TSE,Japan,Industrial Machinery and Supplies and Components,9418,4138,262
Ono Pharmaceutical Co. Ltd. ,4528.TSE,Japan,Pharmaceuticals,9409,3185,488
Nitto Denko Corporation ,6988.TSE,Japan,Specialty Chemicals,9396,6371,143
Samsung Life Insurance Co. Ltd. ,032830.KO,South Korea,Life and Health Insurance,9317,25544,180
T&D Holdings Inc. ,8795.TSE,Japan,Life and Health Insurance,9267,15271,542
Advantech Co. Ltd. ,2395.TW,Taiwan,Technology Hardware Storage and Peripherals,9179,2253,857
JFE Holdings Inc. ,5411.TSE,Japan,Steel,9134,36500,606
Mitsubishi Chemical Group Corporation ,4188.TSE,Japan,Diversified Chemicals,9104,31741,1421
Hana Financial Group Inc. ,086790.KO,South Korea,Diversified Banks,9023,19214,288
Posco International Corporation ,047050.KO,South Korea,Trading Companies and Distributors,8966,25955,170
Wistron Corporation ,3231.TW,Taiwan,Technology Hardware Storage and Peripherals,8956,29948,2841
Asahi Kasei Corporation ,3407.TSE,Japan,Commodity Chemicals,8852,18721,1386
LARGAN Precision Co.Ltd ,3008.TW,Taiwan,Electronic Components,8850,1450,134
Yamaha Motor Co. Ltd. ,7272.TSE,Japan,Motorcycle Manufacturers,8833,16640,331
OMRON Corporation ,6645.TSE,Japan,Electronic Components,8737,6191,197
Rakuten Group Inc. ,4755.TSE,Japan,Broadline Retail,8737,13882,2140
Lite-On Technology Corporation ,2301.TW,Taiwan,Technology Hardware Storage and Peripherals,8702,5157,2306
Hua Nan Financial Holdings Co. Ltd. ,2880.TW,Taiwan,Diversified Banks,8686,1738,13643
Japan Airlines Co. Ltd. ,9201.TSE,Japan,Passenger Airlines,8580,10292,437
Accton Technology Corporation ,2345.TW,Taiwan,Communications Equipment,8543,2650,558
Korea Electric Power Corporation ,015760.KO,South Korea,Electric Utilities,8537,61107,642
President Chain Store Corporation ,2912.TW,Taiwan,Food Retail,8475,9776,1040
ASUSTeK Computer Inc. ,2357.TW,Taiwan,Technology Hardware Storage and Peripherals,8466,16008,743
Nissin Foods Holdings Co.Ltd. ,2897.TSE,Japan,Packaged Foods and Meats,8465,4748,101
Toray Industries Inc. ,3402.TSE,Japan,Commodity Chemicals,8447,17025,1602
Daiwa Securities Group Inc. ,8601.TSE,Japan,Investment Banking and Brokerage,8446,6817,1445
SK Telecom Co. Ltd. ,017670.KO,South Korea,Wireless Telecommunication Services,8384,13224,219
Kawasaki Kisen Kaisha Ltd. ,9107.TSE,Japan,Marine Transportation,8334,6476,233
Taiwan Mobile Co. Ltd. ,3045.TW,Taiwan,Wireless Telecommunication Services,8286,5699,2821
Hankyu Hanshin Holdings Inc. ,9042.TSE,Japan,Rail Transportation,8275,6811,241
KakaoBank Corp. ,323410.KO,South Korea,Diversified Banks,8216,928,477
Unimicron Technology Corp. ,3037.TW,Taiwan,Electronic Components,8211,4041,1524
Meritz Financial Group Inc. ,138040.KO,South Korea,Diversified Financial Services,8157,13729,200
Sumitomo Metal Mining Co. Ltd. ,5713.TSE,Japan,Diversified Metals and Mining,8157,9922,275
SG Holdings Co.Ltd. ,9143.TSE,Japan,Air Freight and Logistics,8123,9449,626
Wiwynn Corporation ,6669.TW,Taiwan,Technology Hardware Storage and Peripherals,8118,9550,175
Otsuka Corporation ,4768.TSE,Japan,IT Consulting and Other Services,8035,6479,190
Samsung Fire & Marine Insurance Co. Ltd. ,000810.KO,South Korea,Property and Casualty Insurance,8031,17600,43
Novatek Microelectronics Corp. ,3034.TW,Taiwan,Semiconductors,7994,3091,609
Kajima Corporation ,1812.TSE,Japan,Construction and Engineering,7959,17121,481
Hd Hyundai Heavy Industries Co. Ltd. ,329180.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,7940,8029,89
Toppan Inc. ,7911.TSE,Japan,Commercial Printing,7891,11312,325
Shimadzu Corporation ,7701.TSE,Japan,Electronic Equipment and Instruments,7847,3408,295
Dentsu Group Inc. ,4324.TSE,Japan,Advertising,7815,8792,264
Yakult Honsha Co.Ltd. ,2267.TSE,Japan,Packaged Foods and Meats,7793,3439,312
Doosan Enerbility Co. Ltd. ,034020.KO,South Korea,Heavy Electrical Equipment,7766,13031,641
Samsung SDS Co.Ltd. ,018260.KO,South Korea,IT Consulting and Other Services,7718,11495,77
Evergreen Marine Corporation (Taiwan) Ltd. ,2603.TW,Taiwan,Marine Transportation,7624,13336,2116
Capcom Co. Ltd. ,9697.TSE,Japan,Interactive Home Entertainment,7567,1000,209
Taishin Financial Holding Co. Ltd. ,2887.TW,Taiwan,Diversified Banks,7548,1703,13577
Samsung Electro-Mechanics Co. Ltd. ,009150.KO,South Korea,Electronic Components,7513,6525,76
AGC Inc. ,5201.TSE,Japan,Building Products,7495,14129,212
MatsukiyoCocokara & Co. ,3088.TSE,Japan,Drug Retail,7474,6725,417
Celltrion Healthcare Co. Ltd. ,091990.KQ,South Korea,Health Care Distributors,7464,1569,161
ROHM Co. Ltd. ,6963.TSE,Japan,Semiconductors,7438,3479,393
Mazda Motor Corporation ,7261.TSE,Japan,Automobile Manufacturers,7418,29744,630
Korea Zinc Company Ltd. ,010130.KO,South Korea,Diversified Metals and Mining,7418,8127,20
KT&G Corporation ,033780.KO,South Korea,Tobacco,7406,4376,116
Tokyo Electric Power Company Holdings Incorporated ,9501.TSE,Japan,Electric Utilities,7402,54898,1602
Taiwan Cement Corp. ,1101.TW,Taiwan,Construction Materials,7369,3842,7136
Far EasTone Telecommunications Co. Ltd. ,4904.TW,Taiwan,Wireless Telecommunication Services,7357,2904,3259
HYBE Co. Ltd. ,352820.KO,South Korea,Movies and Entertainment,7316,1527,42
Daito Trust Construction Co.Ltd. ,1878.TSE,Japan,Diversified Real Estate Activities,7302,11561,68
Ibiden Co.Ltd. ,4062.TSE,Japan,Electronic Components,7241,2862,140
Konami Group Corporation ,9766.TSE,Japan,Interactive Home Entertainment,7117,2179,136
Daifuku Co. Ltd. ,6383.TSE,Japan,Industrial Machinery and Supplies and Components,7029,4193,372
Meiji Holdings Co. Ltd. ,2269.TSE,Japan,Packaged Foods and Meats,6955,7454,279
Tokyu Corporation ,9005.TSE,Japan,Rail Transportation,6942,6649,598
Hulic Co. Ltd. ,3003.TSE,Japan,Real Estate Operating Companies,6913,3181,761
Osaka Gas Co. Ltd. ,9532.TSE,Japan,Gas Utilities,6881,16050,416
Woori Financial Group Inc. ,316140.KO,South Korea,Diversified Banks,6866,7697,759
Hikari Tsushin Inc. ,9435.TSE,Japan,Industrial Conglomerates,6854,4431,44
Yageo Corporation ,2327.TW,Taiwan,Electronic Components,6834,3609,419
Nippon Building Fund Incorporation ,8951.TSE,Japan,Office REITs,6833,653,2
China Development Financial Holding Corporation ,2883.TW,Taiwan,Life and Health Insurance,6751,193,18421
Zensho Holdings Co. Ltd. ,7550.TSE,Japan,Restaurants,6735,5643,151
S-Oil Corporation ,010950.KO,South Korea,Oil and Gas Refining and Marketing,6730,29318,116
Dai Nippon Printing Co. Ltd. ,7912.TSE,Japan,Commercial Printing,6723,9571,255
Makita Corporation ,6586.TSE,Japan,Industrial Machinery and Supplies and Components,6711,5214,269
Idemitsu Kosan Co.Ltd. ,5019.TSE,Japan,Oil and Gas Refining and Marketing,6709,62735,283
SinoPac Financial Holdings Company Limited ,2890.TW,Taiwan,Diversified Banks,6693,1527,12386
ITOCHU Techno-Solutions Corporation ,4739.TSE,Japan,IT Consulting and Other Services,6671,4057,231
Mitsubishi Motors Corporation ,7211.TSE,Japan,Automobile Manufacturers,6671,17742,1487
Taisei Corporation ,1801.TSE,Japan,Construction and Engineering,6666,11357,187
MINEBEA MITSUMI Inc. ,6479.TSE,Japan,Industrial Machinery and Supplies and Components,6641,9223,408
Industrial Bank of Korea ,024110.KO,South Korea,Diversified Banks,6597,6751,797
Japan Post Insurance Co. Ltd. ,7181.TSE,Japan,Life and Health Insurance,6547,23329,383
Hamamatsu Photonics K.K. ,6965.TSE,Japan,Electronic Components,6538,1532,155
Fuji Electric Co. Ltd. ,6504.TSE,Japan,Electrical Components and Equipment,6529,7191,143
Hitachi Construction Machinery Co. Ltd. ,6305.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,6516,9212,213
The Shanghai Commercial & Savings Bank Ltd. ,5876.TW,Taiwan,Diversified Banks,6515,1421,4850
Obayashi Corporation ,1802.TSE,Japan,Construction and Engineering,6412,14255,717
E Ink Holdings Inc. ,8069.TWO,Taiwan,Electronic Components,6357,998,1140
Pegatron Corporation ,4938.TW,Taiwan,Technology Hardware Storage and Peripherals,6339,42021,2665
Nanya Technology Corporation ,2408.TW,Taiwan,Semiconductors,6312,1040,3098
ASICS Corporation ,7936.TSE,Japan,Footwear,6302,3801,183
Realtek Semiconductor Corp. ,2379.TW,Taiwan,Semiconductors,6291,3127,513
Rohto Pharmaceutical Co.Ltd. ,4527.TSE,Japan,Personal Care Products,6197,1712,228
Sekisui Chemical Co. Ltd. ,4204.TSE,Japan,Homebuilding,6194,8615,425
Alchip Technologies Limited ,3661.TW,Taiwan,Semiconductors,6189,699,74
KT Corporation ,030200.KO,South Korea,Integrated Telecommunication Services,6188,19771,253
GlobalWafers Co. Ltd. ,6488.TWO,Taiwan,Semiconductor Materials and Equipment,6142,2341,436
AirTAC International Group ,1590.TW,Taiwan,Industrial Machinery and Supplies and Components,6081,874,200
Posco Dx Company Ltd. ,022100.KQ,South Korea,IT Consulting and Other Services,6073,1107,152
Toho Co. Ltd. ,9602.TSE,Japan,Movies and Entertainment,6050,1836,175
SBI Holdings Inc. ,8473.TSE,Japan,Investment Banking and Brokerage,6022,7392,274
Nissan Chemical Corporation ,4021.TSE,Japan,Diversified Chemicals,5958,1554,140
Yamato Holdings Co. Ltd. ,9064.TSE,Japan,Air Freight and Logistics,5938,12427,359
Korean Air Lines Co. Ltd. ,003490.KO,South Korea,Passenger Airlines,5931,11586,369
HMM Company Limited ,011200.KO,South Korea,Marine Transportation,5868,9750,489
SK Inc. ,034730.KO,South Korea,Industrial Conglomerates,5853,103694,54
Chang Hwa Commercial Bank Ltd. ,2801.TW,Taiwan,Diversified Banks,5817,1107,10858
Keisei Electric Railway Co. Ltd. ,9009.TSE,Japan,Rail Transportation,5815,1833,168
Korea Shipbuilding & Offshore Engineering Co. Ltd. ,009540.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,5793,14807,71
Global Unichip Corp. ,3443.TW,Taiwan,Semiconductors,5681,875,134
Feng Tay Enterprises Co. Ltd. ,9910.TW,Taiwan,Footwear,5612,2852,988
JSR Corporation ,4185.TSE,Japan,Specialty Chemicals,5583,2771,208
ZOZO Inc. ,3092.TSE,Japan,Apparel Retail,5562,1291,300
Giga-Byte Technology Co. Ltd. ,2376.TW,Taiwan,Technology Hardware Storage and Peripherals,5557,3406,636
Amorepacific Corporation ,090430.KO,South Korea,Personal Care Products,5542,2948,69
SCSK Corporation ,9719.TSE,Japan,IT Consulting and Other Services,5495,3146,313
Concordia Financial Group Ltd. ,7186.TSE,Japan,Regional Banks,5493,1857,1174
Japan Real Estate Investment Corporation ,8952.TSE,Japan,Office REITs,5487,562,1
Inventec Corporation ,2356.TW,Taiwan,Technology Hardware Storage and Peripherals,5459,16941,3588
Odakyu Electric Railway Co. Ltd. ,9007.TSE,Japan,Rail Transportation,5431,2796,363
Kintetsu Group Holdings Co.Ltd. ,9041.TSE,Japan,Rail Transportation,5424,12265,190
Tobu Railway Co. Ltd. ,9001.TSE,Japan,Rail Transportation,5353,4379,207
The Chiba Bank Ltd. ,8331.TSE,Japan,Regional Banks,5353,1655,725
Kobe Steel Ltd. ,5406.TSE,Japan,Steel,5353,17487,395
Nan Ya Printed Circuit Board Corporation ,8046.TW,Taiwan,Electronic Components,5348,1848,646
Ricoh Company Ltd. ,7752.TSE,Japan,Technology Hardware Storage and Peripherals,5330,15281,609
TIS Inc. ,3626.TSE,Japan,IT Consulting and Other Services,5321,3595,240
Sumitomo Forestry Co. Ltd. ,1911.TSE,Japan,Homebuilding,5269,11781,205
Seiko Epson Corporation ,6724.TSE,Japan,Technology Hardware Storage and Peripherals,5264,9318,332
Shinko Electric Industries Co. Ltd. ,6967.TSE,Japan,Semiconductors,5237,1772,135
Taiwan High Speed Rail Corporation ,2633.TW,Taiwan,Highways and Railtracks,5235,1474,5628
MonotaRO Co. Ltd. ,3064.TSE,Japan,Trading Companies and Distributors,5225,1663,497
Kobe Bussan Co. Ltd. ,3038.TSE,Japan,Food Retail,5221,3135,220
Nippon Prologis REIT Inc. ,3283.TSE,Japan,Industrial REITs,5208,403,3
Nomura Real Estate Master Fund Inc. ,3462.TSE,Japan,Diversified REITs,5193,580,5
KRAFTON Inc. ,259960.KO,South Korea,Interactive Home Entertainment,5132,1392,46
