name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Mitsubishi Estate Logistics REIT Investment Corporation ,3481.TSE,Japan,Industrial REITs,1256,99,1
HYUNDAI WIA Corporation ,011210.KO,South Korea,Automotive Parts and Equipment,1253,6612,27
EO Technics Co. Ltd. ,039030.KQ,South Korea,Semiconductor Materials and Equipment,1251,298,12
MIRAIT ONE Corporation ,1417.TSE,Japan,Construction and Engineering,1250,3383,95
Hazama Ando Corporation ,1719.TSE,Japan,Construction and Engineering,1249,2639,157
IBF Financial Holdings Co. Ltd. ,2889.TW,Taiwan,Diversified Capital Markets,1247,206,3447
Hokuetsu Corporation ,3865.TSE,Japan,Paper Products,1247,2149,168
Hyundai Elevator Co. Ltd ,017800.KO,South Korea,Industrial Machinery and Supplies and Components,1243,1813,39
HTC Corporation ,2498.TW,Taiwan,Technology Hardware Storage and Peripherals,1242,142,831
Medy-Tox Inc. ,086900.KQ,South Korea,Biotechnology,1237,152,7
Evergreen Aviation Technologies Corporation ,2645.TW,Taiwan,Aerospace and Defense,1233,421,375
Topcon Corporation ,7732.TSE,Japan,Electronic Equipment and Instruments,1232,1510,105
Young Poong Paper Mfg Co.Ltd. ,006740.KO,South Korea,Paper Products,1230,68,35
Yoshinoya Holdings Co. Ltd. ,9861.TSE,Japan,Restaurants,1228,1232,65
JACCS Co. Ltd. ,8584.TSE,Japan,Consumer Finance,1228,1230,35
Noevir Holdings Co. Ltd. ,4928.TSE,Japan,Personal Care Products,1226,430,34
Dong Suh Companies Inc. ,026960.KO,South Korea,Food Distributors,1225,396,99
Hanall Biopharma Co. Ltd. ,009420.KO,South Korea,Pharmaceuticals,1221,99,51
Feng Hsin Steel Co. Ltd. ,2015.TW,Taiwan,Steel,1214,1140,582
ASKUL Corporation ,2678.TSE,Japan,Broadline Retail,1213,3097,98
Mani Inc. ,7730.TSE,Japan,Health Care Supplies,1213,173,99
Inaba Denki Sangyo Co.Ltd. ,9934.TSE,Japan,Trading Companies and Distributors,1212,2237,56
Kanematsu Corporation ,8020.TSE,Japan,Trading Companies and Distributors,1208,6304,84
NEXTAGE Co. Ltd. ,3186.TSE,Japan,Automotive Retail,1205,3333,80
Rorze Corporation ,6323.TSE,Japan,Semiconductor Materials and Equipment,1203,641,18
Great Tree Pharmacy Co. Ltd. ,6469.TWO,Taiwan,Drug Retail,1202,491,111
Toshiba Tec Corporation ,6588.TSE,Japan,Technology Hardware Storage and Peripherals,1201,3623,53
Tokyu REIT Inc. ,8957.TSE,Japan,Diversified REITs,1196,138,1
Nisshinbo Holdings Inc. ,3105.TSE,Japan,Industrial Conglomerates,1194,3656,157
KG Mobility Corp. ,003620.KO,South Korea,Automobile Manufacturers,1191,3107,187
CJ Logistics Corporation ,000120.KO,South Korea,Air Freight and Logistics,1189,9041,20
Benesse Holdings Inc. ,9783.TSE,Japan,Education Services,1186,2848,97
Daishi Hokuetsu Financial Group Inc. ,7327.TSE,Japan,Regional Banks,1183,904,45
OCI Holdings Company Ltd. ,010060.KO,South Korea,Diversified Chemicals,1181,3674,16
Inabata & Co.Ltd. ,8098.TSE,Japan,Trading Companies and Distributors,1181,5091,56
ELAN Microelectronics Corporation ,2458.TW,Taiwan,Semiconductors,1180,328,285
Advanced Nano Products Co. Ltd. ,121600.KQ,South Korea,Specialty Chemicals,1179,62,12
Hokuriku Electric Power Company ,9505.TSE,Japan,Electric Utilities,1175,5858,209
Hyosung Heavy Industries Corporation ,298040.KO,South Korea,Heavy Electrical Equipment,1168,3001,9
Ichibanya Co. Ltd. ,7630.TSE,Japan,Restaurants,1166,357,32
Sangetsu Corporation ,8130.TSE,Japan,Home Furnishings,1165,1263,59
Japan Excellent Inc. ,8987.TSE,Japan,Office REITs,1165,175,1
Furukawa Electric Co. Ltd. ,5801.TSE,Japan,Electrical Components and Equipment,1163,7279,70
Itochu Enex Co.Ltd. ,8133.TSE,Japan,Oil and Gas Refining and Marketing,1155,6788,113
Kenedix Retail REIT Corporation ,3453.TSE,Japan,Retail REITs,1154,145,1
ATOM Corporation ,7412.TSE,Japan,Restaurants,1153,248,193
Universal Entertainment Corporation ,6425.TSE,Japan,Leisure Products,1152,1134,78
