symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
5859.TWO,Farglory Life Insurance Co. Ltd.,Taiwan,Life and Health Insurance,465,1840,1255,0,TWD,[],
358570.KQ,GI Innovation Inc.,South Korea,Biotechnology,431,3,22,0,KRW,[],
8359.TWO,Cashbox Partyworld Co. Ltd.,Taiwan,Movies and Entertainment,421,121,137,0,TWD,[entertainment-100],
6757.TW,Tigerair Taiwan Co. Ltd.,Taiwan,Passenger Airlines,420,208,449,0,TWD,[consumer-50],
5233.TWO,Amita Technologies Inc.,Taiwan,Electrical Components and Equipment,406,41,277,0,TWD,[],
4771.TWO,Vizionfocus Inc.,Taiwan,Health Care Supplies,391,68,53,0,TWD,[],
1563.TWO,SuperAlloy Industrial Co. Ltd.,Taiwan,Automotive Parts and Equipment,389,217,214,0,TWD,[],
01007T.TW,Cathay No.2 REIT,Taiwan,Office REITs,384,16,720,0,TWD,[],
6937.TWO,Skytech Inc.,Taiwan,Semiconductor Materials and Equipment,373,59,61,0,TWD,"[tech-100,semiconductors-25]",
6873.TW,HD Renewable Energy Co. Ltd.,Taiwan,Renewable Electricity,349,192,100,0,TWD,[],
439090.KQ,Manyo Factory Co. Ltd,South Korea,Personal Care Products,344,81,16,0,KRW,[consumer-50],
354320.KQ,ALMAC Co. Ltd.,South Korea,Automotive Parts and Equipment,342,167,6,0,KRW,[],
6854.TW,PlayNitride Inc.,Taiwan,Semiconductors,340,18,107,0,TWD,[],
6811.TWO,Acer E-Enabling Service Business Inc.,Taiwan,IT Consulting and Other Services,332,242,41,0,TWD,[],
5574.TSE,ABEJA Inc.,Japan,Application Software,328,14,9,8598900,JPY,[tech-100],
6885.TWO,BRIM Biotechnology Inc.,Taiwan,Biotechnology,324,-,138,0,TWD,[],
6875.TWO,Pharmosa Biopharm Inc.,Taiwan,Biotechnology,320,-,117,0,TWD,[],
6535.TWO,Lumosa Therapeutics Co. Ltd.,Taiwan,Pharmaceuticals,316,1,163,0,TWD,[],
01004T.TW,Fubon No.2 Real Estate Investment Trust,Taiwan,Office REITs,310,17,730,0,TWD,[],
4772.TWO,Taiwan Speciality Chemicals Corporation,Taiwan,Specialty Chemicals,310,14,138,0,TWD,[],
425040.KQ,TEMC Co. Ltd.,South Korea,Semiconductor Materials and Equipment,308,283,11,0,KRW,"[tech-100,semiconductors-25]",
