symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
6526.TSE,Socionext Inc.,Japan,Semiconductors,3479,1482,36,"35,489,281",JPY,[],
5838.TSE,Rakuten Bank Ltd.,Japan,Diversified Banks,2842,793,175,"174,482,380",JPY,[],
5253.TSE,COVER Corporation,Japan,Movies and Entertainment,997,154,60,"61,124,200",JPY,[entertainment-100],
5027.TSE,AnyMind Group Inc.,Japan,Application Software,341,188,58,"57,938,600",JPY,[tech-100],
7163.TSE,SBI Sumishin Net Bank Ltd.,Japan,Diversified Banks,1636,638,151,"150,793,800",JPY,[],
5461.TSE,Chubu Steel Plate Co. Ltd.,Japan,Steel,400,514,28,"30,200,000",JPY,[],
9336.TSE,Daiei Kankyo Co. Ltd.,Japan,Environmental and Facilities Services,1407,477,100,"99,892,900",JPY,[],
9348.TSE,ispace inc.,Japan,Aerospace and Defense,769,7,82,"81,985,840",JPY,[],
9347.TSE,NIPPON KANZAI Holdings Co.Ltd.,Japan,Environmental and Facilities Services,641,796,37,"41,180,306",JPY,[],
9204.TSE,Skymark Airlines Inc.,Japan,Passenger Airlines,440,599,60,"60,329,400",JPY,[consumer-50],
2936.TSE,BASE FOOD Inc.,Japan,Packaged Foods and Meats,275,81,53,"52,505,900",JPY,[],
7388.TSE,FP Partner Inc.,Japan,Insurance Brokers,512,200,23,"23,000,000",JPY,[],
9161.TSE,Integrated Design & Engineering HoldingsCo.Ltd.,Japan,Construction and Engineering,365,979,15,"15,079,625",JPY,[],
9338.TSE,Inforich Inc.,Japan,Specialized Consumer Services,259,0,9,"9,312,900",JPY,[],
420770.KQ,GigaVis Co. Ltd.,South Korea,Semiconductor Materials and Equipment,666,94,13,"12,675,758",KRW,[tech-100,semiconductors-25]
088980.KO,Macquarie Korea Infrastructure Fund,South Korea,Investment Banking and Brokerage,3927,279,436,"435,781,355",KRW,[],
204270.KQ,JNTC Co. Ltd.,South Korea,Electronic Components,435,144,57,"57,848,466",KRW,[tech-100],
460860.KO,Dongkuk Steel Mill Company Limited,South Korea,Steel,408,-,50,"49,608,017",KRW,[],
270520.KQ,Geolit Energy Co.Ltd.,South Korea,Building Products,317,14,42,"41,762,506",KRW,[],
403870.KQ,HPSP Co. Ltd.,South Korea,Semiconductor Materials and Equipment,1806,150,81,"81,159,000",KRW,[tech-100,semiconductors-25]
328130.KQ,Lunit Inc.,South Korea,Health Care Technology,1640,19,12,"12,381,004",KRW,[],
293490.KQ,Kakao Games Corp.,South Korea,Interactive Home Entertainment,1534,807,82,"82,503,602",KRW,[consumer-50],
393890.KQ,W-Scope Chungju Plant Co. Ltd.,South Korea,Electrical Components and Equipment,1293,221,34,"33,696,518",KRW,[],
383310.KQ,Ecopro Hn. Co. Ltd.,South Korea,Environmental and Facilities Services,801,202,15,"15,304,932",KRW,[],
348370.KQ,Enchem Co. Ltd.,South Korea,Commodity Chemicals,686,421,16,"16,268,221",KRW,[],
299030.KQ,Hana Technology Co. Ltd.,South Korea,Industrial Machinery and Supplies and Components,649,92,8,"8,132,489",KRW,[],
178920.KO,PI Advanced Materials Co. Ltd.,South Korea,Commodity Chemicals,590,172,29,"29,366,322",KRW,[],
257720.KQ,SILICON2 Co. Ltd.,South Korea,Distributors,416,174,60,"60,331,084",KRW,[],
357780.KQ,Soulbrain Co. Ltd.,South Korea,Specialty Chemicals,1312,758,8,"7,778,566",KRW,[],
372170.KQ,YUNSUNG F&C Co.Ltd,South Korea,Industrial Machinery and Supplies and Components,1005,170,8,"7,979,048",KRW,[],
365340.KQ,SungEel HiTech Co. Ltd.,South Korea,Environmental and Facilities Services,991,220,12,"12,016,200",KRW,[],
195940.KQ,HK inno.N Corporation,South Korea,Pharmaceuticals,880,585,28,"28,329,891",KRW,[],
376300.KQ,DEAR U Co. LTD.,South Korea,Application Software,754,47,24,"23,738,406",KRW,[tech-100],
336570.KQ,WON TECH Co.Ltd.,South Korea,Health Care Equipment,748,79,88,"88,173,915",KRW,[],
294090.KQ,EOFLOW Co.Ltd.,South Korea,Health Care Supplies,550,6,30,"30,416,687",KRW,[],
310210.KQ,Voronoi Inc.,South Korea,Biotechnology,545,6,14,"14,310,469",KRW,[],
338220.KQ,Vuno Inc.,South Korea,Health Care Equipment,330,9,11,"11,447,156",KRW,[],
402030.KQ,Konan Technology Inc.,South Korea,Application Software,329,11,6,"5,708,444",KRW,[tech-100],
360070.KQ,TOP MATERIAL Co. Ltd,South Korea,Electrical Components and Equipment,319,67,8,"7,984,343",KRW,[],
335890.KQ,VIOL Co. Ltd.,South Korea,Health Care Equipment,295,27,58,"58,333,152",KRW,[],
094800.KO,Mirae Asset Asia Pacific Real Estate 1 Investment Company,South Korea,Diversified REITs,271,-,93,"92,834,331",KRW,[],
228670.KQ,Ray Co. Ltd.,South Korea,Health Care Equipment,246,106,15,"15,279,943",KRW,[],
357550.KQ,Sukgyung AT Co. Ltd.,South Korea,Specialty Chemicals,245,9,6,"5,455,000",KRW,[],
457190.KO,ISU Specialty Chemical Co. Ltd.,South Korea,Specialty Chemicals,862,-,6,"5,598,773",KRW,[],
281740.KQ,Lake Materials Co. Ltd.,South Korea,Commodity Chemicals,682,98,66,"65,730,548",KRW,[],
456040.KO,OCI Company Ltd.,South Korea,Diversified Chemicals,669,-,7,"7,436,729",KRW,[],
058970.KQ,EMRO. Incorporated.,South Korea,Application Software,554,45,11,"11,212,120",KRW,[tech-100],
222080.KQ,Creative & Innovative System Corporation,South Korea,Industrial Machinery and Supplies and Components,518,119,70,"70,188,384",KRW,[],
090460.KO,BH Co. Ltd.,South Korea,Electronic Components,487,1211,32,"34,464,379",KRW,[tech-100],
348210.KQ,NEXTIN Inc.,South Korea,Semiconductor Materials and Equipment,471,89,10,"10,196,878",KRW,[tech-100,semiconductors-25]
097520.KO,MCNEX Co. Ltd,South Korea,Electronic Components,341,736,18,"17,977,732",KRW,[tech-100],
322510.KQ,JLKInc.,South Korea,Health Care Technology,324,3,16,"16,167,712",KRW,[],
323990.KQ,Vaxcell-Bio Therapeutics Co. Ltd.,South Korea,Biotechnology,310,-,15,"15,223,000",KRW,[],
282880.KQ,COWINTECH Co. Ltd.,South Korea,Industrial Machinery and Supplies and Components,271,198,10,"10,560,379",KRW,[],
340570.KQ,T&L Co. Ltd.,South Korea,Health Care Supplies,255,81,8,"8,128,000",KRW,[],
418550.KQ,JEIO Co. Ltd.,South Korea,Construction and Engineering,579,67,31,"31,336,273",KRW,[],
290650.KQ,L&C Bio Co. Ltd,South Korea,Biotechnology,564,45,23,"22,684,891",KRW,[],
352480.KQ,C&C International Co. Ltd.,South Korea,Personal Care Products,426,135,10,"10,013,941",KRW,[consumer-50],
228760.KQ,Genomictree Inc.,South Korea,Biotechnology,361,4,24,"24,012,334",KRW,[],
084850.KQ,ITM Semiconductor Co. Ltd.,South Korea,Semiconductors,342,456,21,"22,682,934",KRW,[],
399720.KQ,Gaonchips Co. Ltd.,South Korea,Semiconductors,315,37,12,"11,488,320",KRW,[],
099430.KQ,BioPlus Co. Ltd.,South Korea,Health Care Supplies,302,47,58,"57,930,864",KRW,[],
216080.KQ,JETEMA Co. Ltd.,South Korea,Pharmaceuticals,296,38,18,"17,827,259",KRW,[],
394280.KQ,Openedges Technology Inc.,South Korea,Semiconductors,287,5,21,"21,424,360",KRW,[],
314930.KQ,Biodyne Co. Ltd.,South Korea,Health Care Equipment,276,9,6,"6,182,695",KRW,[],
445680.KQ,Curiox Biosystems Co. Ltd,South Korea,Life Sciences Tools and Services,260,7,8,"8,012,492",KRW,[],
107600.KQ,SebitChemCo. Ltd.,South Korea,Commodity Chemicals,258,37,5,"4,861,545",KRW,[],
101360.KQ,Eco&Dream Co. Ltd.,South Korea,Automotive Parts and Equipment,254,40,11,"11,415,283",KRW,[],
298540.KQ,The Nature Holdings Co. Ltd.,South Korea,Apparel Accessories and Luxury Goods,252,425,15,"14,710,576",KRW,[consumer-50],
053080.KQ,K-Ensol Co. Ltd.,South Korea,Construction and Engineering,252,284,13,"12,999,807",KRW,[],
297890.KQ,HB SOLUTION Co. Ltd.,South Korea,Semiconductor Materials and Equipment,244,115,65,"69,202,637",KRW,[tech-100,semiconductors-25]
2645.TW,Evergreen Aviation Technologies Corporation,Taiwan,Aerospace and Defense,1233,421,375,"374,570,962",TWD,[],
6753.TW,Lungteh Shipbuilding Co. Ltd.,Taiwan,Construction Machinery and Heavy Transportation Equipment,330,146,108,"107,750,000",TWD,[],
6869.TW,J&V Energy Technology Co. Ltd.,Taiwan,Renewable Electricity,309,234,116,"116,209,078",TWD,[],
3463.TSE,Ichigo Hotel REIT Investment Corporation,Japan,Hotel and Resort REITs,254,24,0,"254,974",JPY,[],
3287.TSE,Hoshino Resorts REIT Inc.,Japan,Hotel and Resort REITs,1105,89,0,"255,558",JPY,[],
3290.TSE,One REIT Inc.,Japan,Office REITs,464,67,0,"268,468",JPY,[],
8979.TSE,Starts Proceed Investment Corporation,Japan,Multi-Family Residential REITs,412,50,0,"282,477",JPY,[],
2971.TSE,ESCON JAPAN REIT Investment Corporation,Japan,Diversified REITs,279,39,0,"351,967",JPY,[],
3455.TSE,Healthcare & Medical Investment Corporation,Japan,Health Care REITs,350,39,0,"359,500",JPY,[],
3451.TSE,Tosei Reit Investment Corporation,Japan,Diversified REITs,343,51,0,"364,605",JPY,[],
3296.TSE,NIPPON REIT Investment Corporation,Japan,Diversified REITs,1078,120,1,"449,930",JPY,[],
2972.TSE,SANKEI REAL ESTATE Inc.,Japan,Office REITs,285,43,1,"467,099",JPY,[],
8976.TSE,Daiwa Office Investment Corporation,Japan,Office REITs,2107,207,1,"478,258",JPY,[],
3226.TSE,Nippon Accommodations Fund Inc.,Japan,Multi-Family Residential REITs,2090,181,1,"503,472",JPY,[],
3481.TSE,Mitsubishi Estate Logistics REIT Investment Corporation,Japan,Industrial REITs,1256,99,1,"503,485",JPY,[],
8964.TSE,Frontier Real Estate Investment Corporation,Japan,Retail REITs,1659,159,1,"541,000",JPY,[],
3487.TSE,CRE Logistics REIT Inc.,Japan,Industrial REITs,685,69,1,"564,700",JPY,[],
3453.TSE,Kenedix Retail REIT Corporation,Japan,Retail REITs,1154,145,1,"602,177",JPY,[],
3493.TSE,Advance Logistics Investment Corporation,Japan,Industrial REITs,566,49,1,"674,400",JPY,[],
003920.KO,Namyang Dairy Products Co. Ltd,South Korea,Packaged Foods and Meats,262,757,1,"679,712",KRW,[],
3492.TSE,Takara Leben Real Estate Investment Corporation,Japan,Diversified REITs,457,53,1,"687,335",JPY,[],
8977.TSE,Hankyu Hanshin REIT Inc.,Japan,Diversified REITs,653,83,1,"695,200",JPY,[],
3282.TSE,Comforia Residential REIT Inc,Japan,Multi-Family Residential REITs,1669,147,1,"715,982",JPY,[],
2979.TSE,SOSiLA Logistics REIT Inc.,Japan,Industrial REITs,594,60,1,"727,500",JPY,[],
8968.TSE,Fukuoka REIT Corporation,Japan,Retail REITs,844,131,1,"796,000",JPY,[],
3279.TSE,Activia Properties Inc.,Japan,Diversified REITs,2208,250,1,"807,446",JPY,[],
3459.TSE,Samty Residential Investment Corporation,Japan,Multi-Family Residential REITs,636,79,1,"838,726",JPY,[],
003240.KO,Taekwang Industrial Co. Ltd.,South Korea,Commodity Chemicals,354,1852,1,"841,631",KRW,[],
8972.TSE,Kenedix Office Investment Corporation,Japan,Office REITs,1951,247,1,"848,430",JPY,[],
8967.TSE,Japan Logistics Fund Inc.,Japan,Industrial REITs,1787,152,1,"934,000",JPY,[],
8957.TSE,Tokyu REIT Inc.,Japan,Diversified REITs,1196,138,1,"977,600",JPY,[],
8955.TSE,Japan Prime Realty Investment Corporation,Japan,Office REITs,2383,255,1,"997,178",JPY,[],
8958.TSE,Global One Real Estate Investment Corp.,Japan,Office REITs,779,100,1,"1,022,830",JPY,[],
3278.TSE,Kenedix Residential Next Investment Corporation,Japan,Multi-Family Residential REITs,1616,141,1,"1,070,430",JPY,[],
8966.TSE,Heiwa Real Estate REIT Inc.,Japan,Diversified REITs,1113,114,1,"1,149,930",JPY,[],
8987.TSE,Japan Excellent Inc.,Japan,Office REITs,1165,175,1,"1,337,600",JPY,[],
8956.TSE,NTT UD REIT Investment Corporation,Japan,Diversified REITs,1294,169,1,"1,401,640",JPY,[],
3269.TSE,Advance Residence Investment Corporation,Japan,Multi-Family Residential REITs,3156,275,1,"1,430,600",JPY,[],
3295.TSE,Hulic Reit Inc.,Japan,Diversified REITs,1526,163,1,"1,440,000",JPY,[],
8975.TSE,Ichigo Office REIT Investment Corporation,Japan,Office REITs,882,148,2,"1,513,370",JPY,[],
000670.KO,Young Poong Corporation,South Korea,Diversified Metals and Mining,653,3149,2,"1,720,130",KRW,[],
3476.TSE,MIRAI Corporation,Japan,Office REITs,556,93,2,"1,771,440",JPY,[],
3466.TSE,LaSalle LOGIPORT REIT,Japan,Industrial REITs,1780,160,2,"1,863,850",JPY,[],
3234.TSE,Mori Hills REIT Investment Corporation,Japan,Office REITs,1804,159,2,"1,916,330",JPY,[],
3249.TSE,Industrial & Infrastructure Fund Investment Corporation,Japan,Industrial REITs,1933,236,2,"2,113,520",JPY,[],
8986.TSE,Daiwa Securities Living Investment Corporation,Japan,Multi-Family Residential REITs,1653,179,2,"2,260,890",JPY,[],
8984.TSE,Daiwa House REIT Investment Corporation,Japan,Diversified REITs,4015,432,2,"2,320,000",JPY,[],
3468.TSE,Star Asia Investment Corporation,Japan,Diversified REITs,918,100,2,"2,372,000",JPY,[],
8954.TSE,ORIX JREIT Inc.,Japan,Office REITs,3260,381,3,"2,760,000",JPY,[],
306200.KO,SeAH Steel Corporation,South Korea,Steel,290,1422,3,"2,800,100",KRW,[],
4365.TSE,Matsumoto Yushi-Seiyaku Co.Ltd.,Japan,Specialty Chemicals,282,274,3,"2,901,740",JPY,[],
8960.TSE,United Urban Investment Corporation,Japan,Diversified REITs,3180,359,3,"3,098,590",JPY,[],
004690.KO,Samchully Co.Ltd,South Korea,Gas Utilities,248,4696,3,"3,424,020",KRW,[],
8961.TSE,MORI TRUST REIT Inc.,Japan,Diversified REITs,1733,102,4,"3,560,000",JPY,[],
7095.TSE,Macbee Planet Inc.,Japan,Advertising,454,171,4,"3,577,980",JPY,[],
058650.KO,SeAH Holdings Corporation,South Korea,Steel,298,5185,4,"3,897,480",KRW,[],
003030.KO,SeAH Steel Holdings Corporation,South Korea,Steel,650,3083,4,"4,040,460",KRW,[],
5304.TSE,Sec CarbonLimited,Japan,Electrical Components and Equipment,377,223,4,"4,064,940",JPY,[],
287410.KQ,Jeisys Medical Inc.,South Korea,Health Care Equipment,678,95,76,"4,235,000",KRW,[],
298020.KO,Hyosung TNC Corporation,South Korea,Commodity Chemicals,1121,5898,4,"4,315,690",KRW,[],
145020.KQ,Hugel Inc.,South Korea,Biotechnology,1035,229,11,"4,358,200",KRW,[],
3309.TSE,Sekisui House Reit Inc.,Japan,Diversified REITs,2423,229,4,"4,381,480",JPY,[],
034950.KQ,Korea Ratings Co. Ltd.,South Korea,Financial Exchanges and Data,261,73,5,"4,460,870",KRW,[],
8985.TSE,Japan Hotel REIT Investment Corporation,Japan,Hotel and Resort REITs,2431,144,5,"4,467,010",JPY,[],
298050.KO,Hyosung Advanced Materials Corporation,South Korea,Commodity Chemicals,1294,2630,5,"4,468,020",KRW,[],
093320.KQ,KINX Inc.,South Korea,Alternative Carriers,278,89,5,"4,551,800",KRW,[],
002840.KO,Miwon Commercial Co. Ltd.,South Korea,Specialty Chemicals,572,325,5,"4,770,000",KRW,[],
268280.KO,Miwon Specialty Chemical Co. Ltd.,South Korea,Specialty Chemicals,526,379,5,"4,956,000",KRW,[],
4107.TSE,ISE Chemicals Corporation,Japan,Commodity Chemicals,299,180,5,"5,097,600",JPY,[],
3733.TSE,Software Service Inc.,Japan,Health Care Technology,361,239,5,"5,229,460",JPY,[],
2226.TSE,KOIKE-YA Inc.,Japan,Packaged Foods and Meats,310,327,5,"5,334,020",JPY,[],
117730.KQ,T-Robotics.Co.Ltd.,South Korea,Industrial Machinery and Supplies and Components,328,30,17,"5,399,460",KRW,[],
086900.KQ,Medy-Tox Inc.,South Korea,Biotechnology,1237,152,7,"5,443,740",KRW,[],
031980.KQ,PSK HOLDINGS Inc.,South Korea,Semiconductor Materials and Equipment,329,66,20,"5,459,500",KRW,[tech-100,semiconductors-25]
017940.KO,E1 Corporation,South Korea,Oil and Gas Storage and Transportation,258,5998,6,"5,781,750",KRW,[],
3443.TSE,Kawada Technologies Inc.,Japan,Construction and Engineering,245,873,6,"5,896,070",JPY,[],
3496.TSE,Azoom Co.Ltd,Japan,Real Estate Services,321,54,6,"5,952,060",JPY,[],
058430.KO,POSCO STEELEON Co. Ltd.,South Korea,Steel,277,819,6,"5,990,590",KRW,[],
016790.KQ,CANARIABIO Inc.,South Korea,Agricultural Products and Services,778,132,173,"6,150,490",KRW,[],
006650.KO,Korea Petrochemical Ind. Co. Ltd.,South Korea,Commodity Chemicals,622,1517,6,"6,176,100",KRW,[],
001720.KO,Shinyoung Securities Co. Ltd.,South Korea,Investment Banking and Brokerage,320,1094,8,"6,209,310",KRW,[],
000640.KO,Dong-A Socio Holdings Co. Ltd.,South Korea,Pharmaceuticals,465,813,6,"6,250,720",KRW,[],
215000.KQ,GOLFZON Co. Ltd.,South Korea,Leisure Products,425,506,6,"6,272,470",KRW,[consumer-50],
243840.KQ,Shin Heung Energy & Electronics Co.Ltd.,South Korea,Electrical Components and Equipment,251,381,8,"6,551,680",KRW,[],
131970.KQ,DOOSAN TESNA Inc.,South Korea,Semiconductors,467,247,14,"6,639,140",KRW,[],
014830.KO,UNID Company Ltd.,South Korea,Commodity Chemicals,302,1044,7,"6,647,320",KRW,[],
140860.KQ,Park Systems Corp.,South Korea,Electronic Equipment and Instruments,834,119,7,"6,660,060",KRW,[tech-100],
8963.TSE,Invincible Investment Corporation,Japan,Hotel and Resort REITs,2751,193,7,"6,737,120",JPY,[],
7826.TSE,Furuya Metal Co. Ltd.,Japan,Semiconductors,477,333,7,"6,981,710",JPY,[],
8953.TSE,Japan Metropolitan Fund Investment Corporation,Japan,Retail REITs,4520,606,7,"6,989,090",JPY,[],
2705.TSE,OOTOYA Holdings Co. Ltd.,Japan,Restaurants,244,173,7,"7,241,880",JPY,[],
189300.KQ,Intellian Technologies Inc.,South Korea,Communications Equipment,636,221,11,"7,249,280",KRW,[tech-100],
094360.KQ,Chips&Media Inc.,South Korea,Communications Equipment,253,20,9,"7,415,630",KRW,[tech-100],
000070.KO,Samyang Holdings Corporation,South Korea,Packaged Foods and Meats,395,2474,8,"7,435,540",KRW,[],
6030.TSE,Adventure Inc.,Japan,Hotels Resorts and Cruise Lines,251,139,8,"7,523,860",JPY,[],
6957.TSE,Shibaura Electronics Co.Ltd.,Japan,Electronic Components,305,229,8,"7,588,160",JPY,[tech-100],
4413.TSE,baudroieinc.,Japan,IT Consulting and Other Services,282,42,8,"7,924,300",JPY,[],
4970.TSE,Toyo Gosei Co.Ltd.,Japan,Commodity Chemicals,357,225,8,"7,936,920",JPY,[],
3498.TSE,Kasumigaseki Capital Co.Ltd.,Japan,Renewable Electricity,359,201,8,"8,008,350",JPY,[],
005610.KO,SPC Samlip Co. Ltd.,South Korea,Packaged Foods and Meats,397,2633,8,"8,105,220",KRW,[],
101730.KQ,Wemade Max Co. Ltd.,South Korea,Interactive Home Entertainment,262,55,33,"8,126,360",KRW,[consumer-50],
4051.TSE,GMO Financial Gate Inc.,Japan,Transaction and Payment Processing Services,583,103,8,"8,305,090",JPY,[],
007690.KO,Kukdo Chemical Co. Ltd.,South Korea,Commodity Chemicals,320,1089,8,"8,340,530",KRW,[],
5352.TSE,Krosaki Harima Corporation,Japan,Construction Materials,550,1178,8,"8,420,900",JPY,[],
170900.KO,Dong-A ST Co. Ltd.,South Korea,Pharmaceuticals,377,480,9,"8,468,130",KRW,[],
1899.TSE,Fukuda Corporation,Japan,Construction and Engineering,273,1070,9,"8,527,400",JPY,[],
140410.KQ,Mezzion Pharma Co.Ltd.,South Korea,Pharmaceuticals,908,24,30,"8,546,310",KRW,[],
079810.KQ,DE&T Co. Ltd.,South Korea,Semiconductor Materials and Equipment,412,71,22,"8,604,100",KRW,[tech-100,semiconductors-25]
007340.KO,DN Automotive Corporation,South Korea,Automotive Parts and Equipment,509,2569,9,"8,618,120",KRW,[],
319400.KQ,HYUNDAI MOVEX Co. Ltd.,South Korea,Construction and Engineering,279,160,117,"8,620,000",KRW,[],
145720.KO,Dentium CO. LTD,South Korea,Health Care Equipment,680,273,9,"8,623,890",KRW,[],
183300.KQ,KoMiCo Ltd.,South Korea,Semiconductor Materials and Equipment,373,207,10,"8,775,000",KRW,[tech-100,semiconductors-25]
086450.KQ,DongKook Pharmaceutical Co. Ltd.,South Korea,Pharmaceuticals,483,526,44,"8,789,660",KRW,[],
8075.TSE,Shinsho Corporation,Japan,Trading Companies and Distributors,349,4015,9,"8,799,870",JPY,[],
002310.KO,Asia Paper Manufacturing.Co.Ltd,South Korea,Paper Products,253,733,9,"8,813,520",KRW,[],
053610.KQ,Protec Co. Ltd.,South Korea,Semiconductor Materials and Equipment,293,123,9,"8,815,220",KRW,[tech-100,semiconductors-25]
6961.TSE,Enplas Corporation,Japan,Electronic Components,610,289,9,"8,822,460",JPY,[tech-100],
9828.TSE,Genki Sushi Co. Ltd.,Japan,Restaurants,320,394,9,"8,827,340",JPY,[],
6524.TSE,Kohoku Kogyo CO.LTD.,Japan,Electronic Components,343,102,9,"8,830,000",JPY,[tech-100],
280360.KO,Lotte Wellfood Co.Ltd,South Korea,Packaged Foods and Meats,713,3136,9,"8,841,270",KRW,[],
005180.KO,Binggrae Co. Ltd.,South Korea,Packaged Foods and Meats,364,1010,9,"8,841,800",KRW,[],
4746.TSE,Toukei Computer Co. Ltd.,Japan,Data Processing and Outsourced Services,372,125,9,"8,913,060",JPY,[],
108670.KO,LX Hausys Ltd.,South Korea,Building Products,318,2718,10,"8,949,800",KRW,[],
018670.KO,SK Gas Co. Ltd.,South Korea,Oil and Gas Storage and Transportation,993,5646,9,"8,975,050",KRW,[],
243070.KQ,Huons Co. Ltd.,South Korea,Pharmaceuticals,383,396,12,"8,983,760",KRW,[],
1775.TSE,Fuji Furukawa Engineering & Construction Co.Ltd.,Japan,Construction and Engineering,264,637,9,"8,992,910",JPY,[],
272290.KQ,INNOX Advanced Materials Co.Ltd.,South Korea,Semiconductor Materials and Equipment,462,317,20,"9,005,240",KRW,[tech-100,semiconductors-25]
9070.TSE,Tonami Holdings Co. Ltd.,Japan,Air Freight and Logistics,288,981,9,"9,062,760",JPY,[],
084650.KQ,LabGenomics Co. Ltd.,South Korea,Biotechnology,255,56,74,"9,076,740",KRW,[],
6627.TSE,Tera Probe Inc.,Japan,Semiconductors,245,237,9,"9,097,130",JPY,[],
2003.TSE,Nitto Fuji Flour Milling Co.Ltd.,Japan,Packaged Foods and Meats,301,491,9,"9,105,740",JPY,[],
005300.KO,Lotte Chilsung Beverage Co. Ltd.,South Korea,Soft Drinks and Non-alcoholic Beverages,896,2224,10,"9,278,880",KRW,[consumer-50],
6254.TSE,Nomura Micro Science Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,371,370,9,"9,306,000",JPY,[],
060980.KO,HL Holdings Corporation,South Korea,Distributors,242,1024,9,"9,306,030",KRW,[],
298040.KO,Hyosung Heavy Industries Corporation,South Korea,Heavy Electrical Equipment,1168,3001,9,"9,311,740",KRW,[],
214450.KQ,PharmaResearch Co. Ltd.,South Korea,Biotechnology,952,169,10,"9,466,220",KRW,[],
9058.TSE,Trancom Co. Ltd.,Japan,Air Freight and Logistics,462,1161,9,"9,496,740",JPY,[],
1882.TSE,Toa Road Corporation,Japan,Construction and Engineering,346,824,10,"9,504,230",JPY,[],
7467.TSE,Hagiwara Electric Holdings Co. Ltd.,Japan,Technology Distributors,266,1361,10,"9,508,130",JPY,[],
200670.KQ,Humedix Co. Ltd.,South Korea,Pharmaceuticals,277,107,10,"9,607,140",KRW,[],
2268.TSE,B-R 31 Ice Cream Co.Ltd.,Japan,Restaurants,267,161,10,"9,635,880",JPY,[],
145990.KO,Samyang Corporation,South Korea,Packaged Foods and Meats,326,2036,10,"9,666,350",KRW,[],
079370.KQ,Zeus Co.Ltd.,South Korea,Semiconductor Materials and Equipment,243,369,10,"9,724,000",KRW,[tech-100,semiconductors-25]
8057.TSE,Uchida Yoko Co. Ltd.,Japan,IT Consulting and Other Services,452,1757,10,"9,829,990",JPY,[],
194480.KQ,Devsisters corporation,South Korea,Interactive Home Entertainment,357,144,11,"9,965,990",KRW,[consumer-50],
3540.TSE,C.I. Medical Co.Ltd.,Japan,Health Care Distributors,283,305,10,"9,999,860",JPY,[],
278280.KQ,Chunbo Co. Ltd.,South Korea,Specialty Chemicals,959,200,10,"10,000,000",KRW,[],
6462.TSE,Riken Corporation,Japan,Automotive Parts and Equipment,250,635,10,"10,042,400",JPY,[],
131290.KQ,TSE Co. Ltd,South Korea,Semiconductor Materials and Equipment,337,207,11,"10,214,700",KRW,[tech-100,semiconductors-25]
001820.KO,SAMWHA CAPACITOR Co.LTD,South Korea,Electronic Components,273,206,10,"10,261,000",KRW,[tech-100],
025540.KO,Korea Electric Terminal Co. Ltd.,South Korea,Electrical Components and Equipment,388,955,10,"10,315,000",KRW,[],
6258.TSE,Hirata Corporation,Japan,Industrial Machinery and Supplies and Components,533,559,10,"10,384,200",JPY,[],
4499.TSE,Speee Inc.,Japan,Internet Services and Infrastructure,248,90,11,"10,465,900",JPY,[tech-100],
144510.KQ,GC Cell Corporation,South Korea,Biotechnology,370,141,15,"10,554,100",KRW,[],
121600.KQ,Advanced Nano Products Co. Ltd.,South Korea,Specialty Chemicals,1179,62,12,"10,585,800",KRW,[],
141080.KQ,LegoChem Biosciences Inc.,South Korea,Life Sciences Tools and Services,725,27,27,"10,599,600",KRW,[],
064290.KQ,INTEKPLUS Co. Ltd.,South Korea,Semiconductor Materials and Equipment,288,66,12,"10,650,800",KRW,[tech-100,semiconductors-25]
214370.KQ,Caregen Co. Ltd.,South Korea,Pharmaceuticals,1400,61,49,"10,743,000",KRW,[],
8132.TSE,Sinanen Holdings Co. Ltd.,Japan,Oil and Gas Refining and Marketing,299,2369,11,"10,936,600",JPY,[],
2780.TSE,Komehyo Holdings Co.Ltd.,Japan,Other Specialty Retail,409,640,11,"10,956,400",JPY,[],
4825.TSE,Weathernews Inc.,Japan,Research and Consulting Services,471,151,11,"11,025,200",JPY,[],
5302.TSE,Nippon Carbon Co. Ltd.,Japan,Electrical Components and Equipment,339,246,11,"11,043,500",JPY,[],
9639.TSE,Sankyo Frontier Co.Ltd.,Japan,Diversified Real Estate Activities,313,351,11,"11,112,600",JPY,[],
108490.KQ,ROBOTIS Co. Ltd.,South Korea,Electronic Components,246,21,13,"11,251,000",KRW,[tech-100],
054450.KQ,Telechips Inc.,South Korea,Semiconductors,255,135,15,"11,312,800",KRW,[],
119610.KQ,Interojo Inc.,South Korea,Health Care Supplies,335,101,13,"11,342,800",KRW,[],
006280.KO,GC Biopharma Corp.,South Korea,Biotechnology,916,1255,11,"11,413,200",KRW,[],
057050.KO,Hyundai Home Shopping Network Corporation,South Korea,Broadline Retail,353,1569,11,"11,447,800",KRW,[consumer-50],
069620.KO,Daewoong pharmaceutical Co.Ltd,South Korea,Pharmaceuticals,958,1012,12,"11,506,300",KRW,[],
009970.KO,Youngone Holdings Co. Ltd.,South Korea,Apparel Accessories and Luxury Goods,689,3589,12,"11,604,900",KRW,[consumer-50],
064760.KQ,Tokai Carbon Korea Co. Ltd.,South Korea,Semiconductor Materials and Equipment,816,204,12,"11,675,000",KRW,[tech-100,semiconductors-25]
