symbol,name,country,cap,shares,currency,indecies
3083.TWO,Chinese Gamer International,Taiwan,Micro Cap,86433000,TWD,"[anime-10]"
3911.TSE,Aiming Inc,Japan,Micro Cap,40133500,JPY,"[anime-10]"
200350.KO,RaemongRaein,South Korea,Micro Cap,0,KRW,"[anime-10]"
046140.KO,SBS Contents Hub,South Korea,Micro Cap,0,KRW,"[anime-10]"
389140.KO,4by4,South Korea,Micro Cap,0,KRW,"[anime-10]"
361570.KO,RAINBOWBRIDGEWORLD,South Korea,Micro Cap,0,KRW,"[anime-10]"
3904.TSE,Kayak Inc,Japan,Micro Cap,15960200,JPY,"[anime-10]"
3687.TWO,MacroWell OMG Digital Entertainment,Taiwan,Micro Cap,30060000,TWD,"[anime-10]"
3656.TSE,KLab,Japan,Micro Cap,40450700,JPY,"[anime-10]"
3760.TSE,CAVE Interactive,Japan,Micro Cap,6466970,JPY,"[anime-10]"
3723.TSE,Nihon Falcom,Japan,Micro Cap,10279800,JPY,"[anime-10]"
2706.TSE,Broccoli,Japan,Micro Cap,8747270,JPY,"[anime-10]"
3662.TSE,Ateam,Japan,Micro Cap,18533000,JPY,"[anime-10]"
046390.KO,Samhwa Networks,South Korea,Micro Cap,0,KRW,"[anime-10]"
6542.TWO,Gamesparcs,Taiwan,Micro Cap,42000600,TWD,"[anime-10]"
2138.TSE,CROOZ,Japan,Micro Cap,11122400,JPY,"[anime-10]"
4644.TSE,Imagineer,Japan,Micro Cap,9598000,JPY,"[anime-10]"
4777.TSE,Gala Incorporated,Japan,Micro Cap,25035700,JPY,"[anime-10]"
104200.KO,NHN BUGS,South Korea,Micro Cap,0,KRW,"[anime-10]"
3758.TSE,Aeria,Japan,Micro Cap,22162400,JPY,"[anime-10]"
068050.KO,Pan Entertainment,South Korea,Micro Cap,0,KRW,"[anime-10]"
7060.TSE,geechs,Japan,Micro Cap,10021200,JPY,"[anime-10]"
3086.TWO,Wayi International Digital Entertainment,Taiwan,Micro Cap,22274000,TWD,"[anime-10]"
3667.TSE,enish,Japan,Micro Cap,17243500,JPY,"[anime-10]"
3912.TSE,Mobile Factory,Japan,Micro Cap,7881340,JPY,"[anime-10]"
4175.TSE,coly,Japan,Micro Cap,5502820,JPY,"[anime-10]"
3851.TSE,Nippon Ichi Software,Japan,Micro Cap,5040540,JPY,"[anime-10]"
4728.TSE,Tose Software,Japan,Micro Cap,7579940,JPY,"[anime-10]"
3810.TSE,CyberStep,Japan,Micro Cap,10803500,JPY,"[anime-10]"
4174.TSE,Appirits,Japan,Micro Cap,4101360,JPY,"[anime-10]"
3907.TSE,Silicon Studio,Japan,Micro Cap,2948880,JPY,"[anime-10]"
3672.TSE,AltPlus,Japan,Micro Cap,17440200,JPY,"[anime-10]"
6482.TWO,Fun Yours Technology,Taiwan,Micro Cap,18863200,TWD,"[anime-10]"
299900.KO,Wysiwyg Studios,South Korea,Micro Cap,0,KRW,"[anime-10]"
3664.TSE,Mobcast,Japan,Micro Cap,44638400,JPY,"[anime-10]"
3935.TSE,Edia,Japan,Micro Cap,6127860,JPY,"[anime-10]"
3624.TSE,Axel Mark,Japan,Micro Cap,10646300,JPY,"[anime-10]"
6468.TWO,Netmarble Joybomb,Taiwan,Micro Cap,12074000,TWD,"[anime-10]"
3928.TSE,Mynet,Japan,Micro Cap,8438710,JPY,"[anime-10]"
4199.TSE,WonderPlanet,Japan,Micro Cap,2541780,JPY,"[anime-10]"
3064.TSE,Astro Corporation,Taiwan,Micro Cap,496907008,JPY,"[anime-10]"
6626.TWO,GAME HOURS,Taiwan,Micro Cap,27177000,TWD,"[anime-10]"
6169.TWO,InterServ International,Taiwan,Micro Cap,23395000,TWD,"[anime-10]"
GIGM,GigaMedia,Taiwan,Micro Cap,11052200,USD,"[anime-10]"
3639.TSE,Voltage,Japan,Micro Cap,6422090,JPY,"[anime-10]"
310200.KO,Aniplus,South Korea,Micro Cap,0,KRW,"[anime-10]"
