symbol,name,country,cap,shares-old,currency
4644.TSE,Imagineer,Japan,Micro Cap,9598000,JPY
095660.KQ,Neowiz Games,South Korea,Small Cap,8856866,KRW
2706.TSE,Broccoli,Japan,Micro Cap,8747270,JPY
3928.TSE,Mynet,Japan,Micro Cap,8438710,JPY
4334.TSE,Yuke's,Japan,Micro Cap,8364960,JPY
3912.TSE,Mobile Factory,Japan,Micro Cap,7881340,JPY
4728.TSE,Tose Software,Japan,Micro Cap,7579940,JPY
GRVY,Gravity Co.,South Korea,Small Cap,6948900,USD
063080.KQ,Com2uS,South Korea,Small Cap,6595192,KRW
200350.KQ,RaemongRaein,South Korea,Micro Cap,6473104,KRW
3760.TSE,CAVE Interactive,Japan,Micro Cap,6466970,JPY
3639.TSE,Voltage,Japan,Micro Cap,6422090,JPY
3935.TSE,Edia,Japan,Micro Cap,6127860,JPY
4175.TSE,coly,Japan,Micro Cap,5502820,JPY
408900.KO,Studio Mir,South Korea,Micro Cap,5360550,KRW
3851.TSE,Nippon Ichi Software,Japan,Micro Cap,5040540,JPY
4174.TSE,Appirits,Japan,Micro Cap,4101360,JPY
4393.TSE,Bank of Innovation,Japan,Micro Cap,4002970,JPY
3907.TSE,Silicon Studio,Japan,Micro Cap,2948880,JPY
4199.TSE,WonderPlanet,Japan,Micro Cap,2541780,JPY
241840.KQ,ASTORY,South Korea,Micro Cap,953999,KRW
