symbol,name,country,industry,shares,currency,indicies
011930.KO,Shinsung E&G Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"205,848,151",KRW,"[""tech-100"",""semiconductors-25""]"
222800.KQ,SIMMTECH Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"31,854,143",KRW,"[""tech-100"",""semiconductors-25""]"
6937.TWO,Skytech Inc.,Taiwan,Semiconductor Materials and Equipment,"60,677,263",TWD,"[""tech-100"",""semiconductors-25""]"
039440.KQ,STI Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"15,830,000",KRW,"[""tech-100"",""semiconductors-25""]"
3436.TSE,Sumco Corporation,Japan,Semiconductor Materials and Equipment,"350,167,008",JPY,"[""tech-100"",""semiconductors-25""]"
2338.TW,Taiwan Mask Corporation,Taiwan,Semiconductor Materials and Equipment,"212,654,000",TWD,"[""tech-100"",""semiconductors-25""]"
6826.TWO,Taiwan Puritic Corp.,Taiwan,Semiconductor Materials and Equipment,"60,800,000",TWD,"[""tech-100"",""semiconductors-25""]"
6266.TSE,Tazmo Co. Ltd.,Japan,Semiconductor Materials and Equipment,"14,572,400",JPY,"[""tech-100"",""semiconductors-25""]"
425040.KQ,TEMC Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"10,626,114",KRW,"[""tech-100"",""semiconductors-25""]"
095610.KQ,TES Co. Ltd,South Korea,Semiconductor Materials and Equipment,"19,768,226",KRW,"[""tech-100"",""semiconductors-25""]"
425420.KQ,Tfe Inc.,South Korea,Semiconductor Materials and Equipment,"11,381,000",KRW,"[""tech-100"",""semiconductors-25""]"
064760.KQ,Tokai Carbon Korea Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"11,675,000",KRW,"[""tech-100"",""semiconductors-25""]"
7729.TSE,Tokyo Seimitsu Co. Ltd.,Japan,Semiconductor Materials and Equipment,"40,424,900",JPY,"[""tech-100"",""semiconductors-25""]"
5434.TW,Topco Scientific Co.Ltd.,Taiwan,Semiconductor Materials and Equipment,"188,700,000",TWD,"[""tech-100"",""semiconductors-25""]"
6315.TSE,TOWA Corporation,Japan,Semiconductor Materials and Equipment,"25,019,600",JPY,"[""tech-100"",""semiconductors-25""]"
4369.TSE,Tri Chemical Laboratories Inc.,Japan,Semiconductor Materials and Equipment,"32,497,600",JPY,"[""tech-100"",""semiconductors-25""]"
131290.KQ,TSE Co. Ltd,South Korea,Semiconductor Materials and Equipment,"11,061,429",KRW,"[""tech-100"",""semiconductors-25""]"
6728.TSE,ULVAC Inc.,Japan,Semiconductor Materials and Equipment,"49,248,700",JPY,"[""tech-100"",""semiconductors-25""]"
2455.TW,Visual Photonics Epitaxy Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,"184,906,000",TWD,"[""tech-100"",""semiconductors-25""]"
6182.TWO,Wafer Works Corporation,Taiwan,Semiconductor Materials and Equipment,"541,884,032",TWD,"[""tech-100"",""semiconductors-25""]"
6515.TW,WinWay Technology Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,"34,784,000",TWD,"[""tech-100"",""semiconductors-25""]"
240810.KQ,Wonik Ips Co. Ltd,South Korea,Semiconductor Materials and Equipment,"49,083,901",KRW,"[""tech-100"",""semiconductors-25""]"
074600.KQ,Wonik QnC Corporation,South Korea,Semiconductor Materials and Equipment,"26,288,000",KRW,"[""tech-100"",""semiconductors-25""]"
079370.KQ,Zeus Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"10,339,000",KRW,"[""tech-100"",""semiconductors-25""]"
5287.TWO,ADDCN Technology Co. Ltd,Taiwan,Interactive Media and Services,"55,874,300",TWD,"[""consumer-50"",""entertainment-100""]"
6027.TSE,Bengo4.comInc.,Japan,Interactive Media and Services,"22,267,400",JPY,"[""consumer-50"",""entertainment-100""]"
119860.KQ,Connectwave Co. Ltd.,South Korea,Interactive Media and Services,"46,747,183",KRW,"[""consumer-50"",""entertainment-100""]"
4676.TSE,Fuji Media Holdings Inc.,Japan,Broadcasting,"222,411,008",JPY,"[""consumer-50"",""entertainment-100""]"
3491.TSE,GA technologies Co. Ltd.,Japan,Interactive Media and Services,"36,745,800",JPY,"[""consumer-50"",""entertainment-100""]"
4449.TSE,giftee Inc.,Japan,Interactive Media and Services,"29,235,100",JPY,"[""consumer-50"",""entertainment-100""]"
4348.TSE,Infocom Corporation,Japan,Interactive Media and Services,"54,791,900",JPY,"[""consumer-50"",""entertainment-100""]"
2371.TSE,Kakaku.com Inc.,Japan,Interactive Media and Services,"201,104,000",JPY,"[""consumer-50"",""entertainment-100""]"
3901.TSE,MarkLines Co. Ltd.,Japan,Interactive Media and Services,"13,214,800",JPY,"[""consumer-50"",""entertainment-100""]"
9401.TSE,TBS HoldingsInc.,Japan,Broadcasting,"165,155,008",JPY,"[""consumer-50"",""entertainment-100""]"
9409.TSE,TV Asahi Holdings Corporation,Japan,Broadcasting,"101,603,000",JPY,"[""consumer-50"",""entertainment-100""]"
9413.TSE,TV TOKYO Holdings Corporation,Japan,Broadcasting,"27,048,400",JPY,"[""consumer-50"",""entertainment-100""]"
3679.TSE,ZIGExN Co. Ltd.,Japan,Interactive Media and Services,"104,002,000",JPY,"[""consumer-50"",""entertainment-100""]"
6741.TWO,91App Inc.,Taiwan,Application Software,"118,078,000",TWD,[tech-100]
7745.TSE,A&D HOLON Holdings Company Limited,Japan,Electronic Equipment and Instruments,"27,452,200",JPY,[tech-100]
6579.TW,AAEON Technology Inc.,Taiwan,Technology Hardware Storage and Peripherals,"160,178,000",TWD,[]
3856.TSE,Abalance Corporation,Japan,Heavy Electrical Equipment,"17,328,100",JPY,[]
5574.TSE,ABEJA Inc.,Japan,Application Software,"8,598,900",JPY,[tech-100]
6565.TSE,Abhotel Co. Ltd.,Japan,Hotels Resorts and Cruise Lines,"14,175,700",JPY,[]
3362.TWO,Ability Opto-Electronics Technology Co.Ltd.,Taiwan,Electronic Components,"142,460,000",TWD,[tech-100]
298380.KQ,ABL Bio Inc.,South Korea,Biotechnology,"47,892,539",KRW,[]
6282.TW,AcBel Polytech Inc.,Taiwan,Electrical Components and Equipment,"733,649,984",TWD,[]
6811.TWO,Acer E-Enabling Service Business Inc.,Taiwan,IT Consulting and Other Services,"41,449,000",TWD,[]
5536.TWO,Acter Group Corporation Limited,Taiwan,Construction and Engineering,"123,178,000",TWD,[]
8255.TWO,Actron Technology Corporation,Taiwan,Automotive Parts and Equipment,"92,210,200",TWD,[]
2685.TSE,Adastria Co. Ltd.,Japan,Apparel Retail,"45,351,000",JPY,[consumer-50]
3260.TWO,ADATA Technology Co. Ltd.,Taiwan,Semiconductors,"263,464,992",TWD,[]
4142.TW,Adimmune Corporation,Taiwan,Biotechnology,"421,508,000",TWD,[]
6166.TW,Adlink Technology Inc.,Taiwan,Technology Hardware Storage and Peripherals,"217,496,992",TWD,[]
7463.TSE,Advan Group Co. Ltd.,Japan,Trading Companies and Distributors,"37,083,800",JPY,[]
3152.TWO,Advanced Ceramic X Corporation,Taiwan,Communications Equipment,"69,016,200",TWD,[tech-100]
4749.TWO,Advanced Echem Materials Company Limited,Taiwan,Semiconductors,"81,386,365",TWD,[]
6781.TW,Advanced Energy Solution Holding Co. Ltd.,Taiwan,Electrical Components and Equipment,"85,419,000",TWD,[]
8938.TWO,Advanced International Multitech Co. Ltd.,Taiwan,Leisure Products,"134,942,000",TWD,[consumer-50]
121600.KQ,Advanced Nano Products Co. Ltd.,South Korea,Specialty Chemicals,"12,159,878",KRW,[]
8261.TW,Advanced Power Electronics Co. Ltd.,Taiwan,Semiconductors,"117,891,000",TWD,[]
1442.TW,Advancetek Enterprise Co.Ltd.,Taiwan,Real Estate Development,"366,212,000",TWD,[]
6030.TSE,Adventure Inc.,Japan,Hotels Resorts and Cruise Lines,"7,523,860",JPY,[]
018250.KO,Aekyung Industrial Co. Ltd.,South Korea,Household Products,"26,409,935",KRW,[consumer-50]
161000.KO,Aekyungchemical Co. Ltd.,South Korea,Commodity Chemicals,"48,648,709",KRW,[]
9787.TSE,Aeon Delight Co. Ltd.,Japan,Environmental and Facilities Services,"48,529,800",JPY,[]
4343.TSE,AEON Fantasy Co.LTD.,Japan,Leisure Facilities,"19,766,900",JPY,[consumer-50]
8570.TSE,AEON Financial Service Co. Ltd.,Japan,Consumer Finance,"215,858,000",JPY,[consumer-50]
7512.TSE,Aeon Hokkaido Corporation,Japan,Food Retail,"139,224,992",JPY,[consumer-50]
2653.TSE,Aeon Kyushu Co. Ltd.,Japan,Broadline Retail,"34,757,000",JPY,[consumer-50]
8905.TSE,AEON Mall Co. Ltd.,Japan,Real Estate Operating Companies,"227,555,008",JPY,[]
2634.TW,Aerospace Industrial Development Corporation,Taiwan,Aerospace and Defense,"941,867,008",TWD,[]
3076.TSE,Ai Holdings Corporation,Japan,Electronic Equipment and Instruments,"47,360,000",JPY,[tech-100]
3693.TWO,AIC Inc.,Taiwan,Technology Hardware Storage and Peripherals,"38,491,000",TWD,[]
6345.TSE,Aichi Corporation,Japan,Construction Machinery and Heavy Transportation Equipment,"74,026,800",JPY,[]
7389.TSE,Aichi Financial Group Inc.,Japan,Regional Banks,"48,926,900",JPY,[]
5482.TSE,Aichi Steel Corporation,Japan,Steel,"19,727,800",JPY,[]
6118.TSE,Aida Engineering Ltd.,Japan,Industrial Machinery and Supplies and Components,"59,711,900",JPY,[]
8515.TSE,Aiful Corporation,Japan,Consumer Finance,"483,703,008",JPY,[consumer-50]
9627.TSE,Ain Holdings Inc.,Japan,Drug Retail,"35,128,200",JPY,[consumer-50]
6718.TSE,Aiphone Co.Ltd.,Japan,Communications Equipment,"16,334,200",JPY,[tech-100]
