symbol,name,country,cap,shares,currency,initial_date,initial_price,initial_price_USD,initial_MC_USD,share,share_adj
SONY,Sony,Japan,Blue Chip,1233980032,USD,2023-06-30,90.04,90.04,111107.56208128002,0.7894639943648061,0.1
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY,2023-06-30,3321,23.008972182769252,15187.07172109329,0.10791026352345083,0.1
6460.TSE,Sega Sammy Holdings,Japan,Mid Cap,220744992,JPY,2023-06-30,3072,21.28381889354626,4698.296431385318,0.033383289111482556,0.1
4816.TSE,Toei Animation,Japan,Mid Cap,40887600,JPY,2023-06-30,13260,91.86960889597117,3756.3278206949103,0.026690222608791194,0.1
9468.TSE,Kadokawa,Japan,Mid Cap,140604000,JPY,2023-06-30,3440,23.83344303183566,3351.077424048221,0.023810755263260073,0.1
9404.TSE,Nippon Television Holdings,Japan,Mid Cap,255083008,JPY,2023-06-30,1369,9.484878927495062,2419.431447341254,0.01719103523406051,0.1
3791.TSE,IG Port,Japan,Micro Cap,4714370,JPY,2023-06-30,3885,26.91654830775626,126.89456784563687,0.0009016370309819893,0.1
3686.TSE,DLE,Japan,Small Cap,42514200,JPY,2023-06-30,310,2.1477812034503065,91.31119963972702,0.0006488028631668331,0.1
