symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
2590.TSE,DyDo Group Holdings Inc. ,Japan,Packaged Foods and Meats,590,1298,16,15690300,JPY,"[]"
418550.KQ,JEIO Co. Ltd. ,South Korea,Construction and Engineering,579,67,31,0,KRW,"[]"
290650.KQ,L&C Bio Co. Ltd ,South Korea,Biotechnology,564,45,23,0,KRW,"[]"
6679.TWO,Zilltek Technology Corp. ,Taiwan,Semiconductors,563,51,54,53677000,TWD,"[]"
3433.TSE,TOCALO Co.Ltd. ,Japan,Industrial Machinery and Supplies and Components,552,332,60,59998900,JPY,"[]"
3227.TWO,PixArt Imaging Inc. ,Taiwan,Semiconductors,549,152,146,146100992,TWD,"[]"
8050.TWO,IBASE Technology Inc. ,Taiwan,Technology Hardware Storage and Peripherals,547,224,186,185468992,TWD,"[]"
3019.TW,Asia Optical Co. Inc. ,Taiwan,Electronic Components,546,578,279,279244000,TWD,"[tech-100]"
1104.TW,Universal Cement Corporation ,Taiwan,Construction Materials,545,242,673,673217024,TWD,"[]"
7483.TSE,Doshisha Co.Ltd. ,Japan,Distributors,504,729,34,34140900,JPY,"[]"
9938.TW,Taiwan Paiho Limited ,Taiwan,Textiles,502,407,298,297964000,TWD,"[]"
8159.TSE,Tachibana Eletech Co. Ltd. ,Japan,Technology Distributors,464,1605,24,24292800,JPY,"[]"
2117.TSE,WELLNEO SUGAR Co. Ltd. ,Japan,Packaged Foods and Meats,457,472,33,32761000,JPY,"[]"
8160.TSE,Kisoji Co. Ltd. ,Japan,Restaurants,457,329,28,28161600,JPY,"[]"
1308.TW,Asia Polymer Corporation ,Taiwan,Commodity Chemicals,451,274,594,593742976,TWD,"[]"
6278.TSE,Union Tool Co. ,Japan,Industrial Machinery and Supplies and Components,448,180,17,17275400,JPY,"[]"
6756.TW,VIA Labs Inc. ,Taiwan,Technology Hardware Storage and Peripherals,439,66,69,69009000,TWD,"[]"
9621.TSE,CTI Engineering Co. Ltd. ,Japan,Construction and Engineering,428,617,14,13864600,JPY,"[]"
352480.KQ,C&C International Co. Ltd. ,South Korea,Personal Care Products,426,135,10,0,KRW,"[consumer-50]"
6929.TSE,Nippon Ceramic Co. Ltd. ,Japan,Electronic Components,426,167,24,23591900,JPY,"[tech-100]"
215000.KQ,GOLFZON Co. Ltd. ,South Korea,Leisure Products,425,506,6,6272470,KRW,"[consumer-50]"
383800.KO,LX Holdings Corp. ,South Korea,Industrial Conglomerates,422,265,76,76234896,KRW,"[]"
3762.TSE,TechMatrix Corporation ,Japan,IT Consulting and Other Services,421,329,40,39919100,JPY,"[]"
1419.TW,Shinkong Textile Co. Ltd. ,Taiwan,Textiles,398,109,299,299236992,TWD,"[]"
6153.TW,Career Technology (Mfg.) Co. Ltd. ,Taiwan,Electronic Components,374,442,554,554177984,TWD,"[tech-100]"
3217.TWO,Argosy Research Inc. ,Taiwan,Electronic Equipment and Instruments,374,81,90,90104000,TWD,"[tech-100]"
6619.TSE,W-SCOPE Corporation ,Japan,Commodity Chemicals,374,335,55,55225300,JPY,"[]"
1952.TSE,Shin Nippon Air Technologies Co. Ltd. ,Japan,Building Products,373,774,23,23362200,JPY,"[]"
7244.TSE,Ichikoh Industries Ltd. ,Japan,Automotive Parts and Equipment,373,1026,96,96155200,JPY,"[]"
8163.TW,Darfon Electronics Corp. ,Taiwan,Technology Hardware Storage and Peripherals,373,874,278,280000000,TWD,"[]"
6254.TSE,Nomura Micro Science Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,371,370,9,9306000,JPY,"[]"
1870.TSE,Yahagi Construction Co.Ltd. ,Japan,Construction and Engineering,371,814,43,43009500,JPY,"[]"
8613.TSE,Marusan Securities Co. Ltd. ,Japan,Investment Banking and Brokerage,371,108,66,65522900,JPY,"[]"
2436.TW,Weltrend Semiconductor Inc. ,Taiwan,Semiconductors,371,82,177,176999008,TWD,"[]"
1726.TW,Yung Chi Paint & Varnish Mfg.Co.Ltd ,Taiwan,Commodity Chemicals,370,309,162,162000000,TWD,"[]"
2753.TW,Bafang Yunji International Company Limited ,Taiwan,Restaurants,370,226,66,66345000,TWD,"[]"
9790.TSE,Fukui Computer HoldingsInc. ,Japan,Application Software,369,97,21,20675200,JPY,"[tech-100]"
2908.TSE,Fujicco Co. Ltd. ,Japan,Packaged Foods and Meats,368,378,29,28463800,JPY,"[]"
1720.TW,Standard Chemical & Pharmaceutical Co. Ltd. ,Taiwan,Pharmaceuticals,367,197,179,178696000,TWD,"[]"
9161.TSE,Integrated Design & Engineering HoldingsCo.Ltd. ,Japan,Construction and Engineering,365,979,15,0,JPY,"[]"
2731.TW,Lion Travel Service Co. Ltd. ,Taiwan,Hotels Resorts and Cruise Lines,365,357,93,93220200,TWD,"[]"
3705.TW,YungShin Global Holding Corporation ,Taiwan,Pharmaceuticals,364,217,266,266364992,TWD,"[]"
6112.TW,Metaage Corporation ,Taiwan,IT Consulting and Other Services,363,425,188,188356992,TWD,"[]"
5222.TW,Transcom Inc. ,Taiwan,Semiconductors,362,36,75,74603104,TWD,"[]"
377740.KO,BioNote Inc. ,South Korea,Biotechnology,362,100,102,101976000,KRW,"[]"
228760.KQ,Genomictree Inc. ,South Korea,Biotechnology,361,4,24,0,KRW,"[]"
3733.TSE,Software Service Inc. ,Japan,Health Care Technology,361,239,5,5229460,JPY,"[]"
6741.TWO,91App Inc. ,Taiwan,Application Software,361,43,118,118078000,TWD,"[tech-100]"
6180.TWO,Gamania Digital Entertainment Co. Ltd. ,Taiwan,Interactive Home Entertainment,360,343,176,175494000,TWD,"[consumer-50]"
8337.TSE,The Chiba Kogyo Bank Ltd. ,Japan,Regional Banks,360,350,59,57228000,JPY,"[]"
357120.KO,Koramco Energy Plus Reit ,South Korea,Other Specialized REITs,359,54,89,88534496,KRW,"[]"
