symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
8566.TSE,Ricoh Leasing Company Ltd. ,Japan,Specialized Finance,922,2075,31,30824700,JPY,"[]"
1407.TSE,West Holdings Corporation ,Japan,Renewable Electricity,881,323,41,40664500,JPY,"[]"
6454.TSE,Max Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,878,589,47,46829400,JPY,"[]"
457190.KO,ISU Specialty Chemical Co. Ltd. ,South Korea,Specialty Chemicals,862,-,6,0,KRW,"[]"
185750.KO,Chong Kun Dang Pharmaceutical Corp. ,South Korea,Pharmaceuticals,841,1171,12,12144000,KRW,"[]"
4634.TSE,Toyo Ink SC Holdings Co. Ltd. ,Japan,Specialty Chemicals,839,2178,53,52988500,JPY,"[]"
6579.TW,AAEON Technology Inc. ,Taiwan,Technology Hardware Storage and Peripherals,774,266,160,160178000,TWD,"[]"
6547.TWO,Medigen Vaccine Biologics Corporation ,Taiwan,Biotechnology,742,1,328,328364000,TWD,"[]"
114090.KO,Grand Korea Leisure Co. Ltd. ,South Korea,Casinos and Gaming,742,286,62,61855700,KRW,"[]"
6806.TW,Shinfox Energy Co. Ltd. ,Taiwan,Renewable Electricity,742,176,216,216150000,TWD,"[]"
096530.KQ,Seegene Inc. ,South Korea,Biotechnology,740,341,47,25992000,KRW,"[]"
9663.TSE,NAGAWA Co. Ltd. ,Japan,Homebuilding,734,220,16,15724200,JPY,"[]"
2760.TSE,Tokyo Electron Device Limited ,Japan,Technology Distributors,732,1720,30,29845600,JPY,"[]"
6515.TW,WinWay Technology Co. Ltd. ,Taiwan,Semiconductor Materials and Equipment,732,170,35,34784000,TWD,"[tech-100,semiconductors-25]"
2867.TW,Mercuries Life Insurance Company Ltd. ,Taiwan,Life and Health Insurance,731,2618,4600,4599499776,TWD,"[]"
8097.TSE,San-Ai Obbli Co. Ltd. ,Japan,Oil and Gas Refining and Marketing,725,4454,66,65824900,JPY,"[]"
5009.TWO,Gloria Material Technology Corp. ,Taiwan,Steel,725,434,514,513695008,TWD,"[]"
166090.KQ,Hana Materials Inc. ,South Korea,Semiconductor Materials and Equipment,725,244,20,19627700,KRW,"[tech-100,semiconductors-25]"
6744.TSE,Nohmi Bosai Ltd. ,Japan,Electronic Equipment and Instruments,723,739,60,60332500,JPY,"[tech-100]"
3479.TSE,TKP Corporation ,Japan,Real Estate Operating Companies,720,332,42,41820700,JPY,"[]"
4694.TSE,BML Inc. ,Japan,Health Care Services,719,1067,39,38961900,JPY,"[]"
7970.TSE,Shin-Etsu Polymer Co.Ltd. ,Japan,Commodity Chemicals,719,758,81,80932496,JPY,"[]"
6188.TWO,Quanta Storage Inc. ,Taiwan,Technology Hardware Storage and Peripherals,718,366,278,278359008,TWD,"[]"
093370.KO,Foosung Co. Ltd. ,South Korea,Commodity Chemicals,712,452,94,94352096,KRW,"[]"
5703.TSE,Nippon Light Metal Holdings Company Ltd. ,Japan,Aluminum,711,3570,62,61923800,JPY,"[]"
2317.TSE,Systena Corporation ,Japan,Application Software,708,523,387,387440992,JPY,"[tech-100]"
7976.TSE,Mitsubishi Pencil Co. Ltd. ,Japan,Office Services and Supplies,708,494,54,56671700,JPY,"[]"
7944.TSE,Roland Corporation ,Japan,Leisure Products,708,684,25,27338900,JPY,"[consumer-50]"
6737.TSE,EIZO Corporation ,Japan,Technology Hardware Storage and Peripherals,707,564,21,20572600,JPY,"[]"
2312.TW,Kinpo Electronics Inc. ,Taiwan,Technology Hardware Storage and Peripherals,706,5730,1477,1477100032,TWD,"[]"
195870.KO,HAESUNG DS Co. Ltd. ,South Korea,Semiconductor Materials and Equipment,705,604,17,17000000,KRW,"[tech-100,semiconductors-25]"
6027.TSE,Bengo4.comInc. ,Japan,Interactive Media and Services,703,63,22,22267400,JPY,"[consumer-50,entertainment-100]"
6803.TWO,ECOVE Environment Corp. ,Taiwan,Environmental and Facilities Services,700,242,71,71082800,TWD,"[]"
8140.TSE,Ryosan Company Limited ,Japan,Technology Distributors,698,2240,23,23438200,JPY,"[]"
6605.TW,Depo Auto Parts Industrial Co. Ltd. ,Taiwan,Automotive Parts and Equipment,690,578,166,165816000,TWD,"[]"
067630.KQ,HLB Life Science Co. Ltd. ,South Korea,Health Care Distributors,689,91,102,46842300,KRW,"[]"
2004.TSE,Showa Sangyo Co. Ltd. ,Japan,Packaged Foods and Meats,689,2380,33,33446100,JPY,"[]"
2530.TW,Delpha Construction Co.Ltd. ,Taiwan,Real Estate Operating Companies,687,50,840,839987968,TWD,"[]"
1835.TSE,Totetsu Kogyo Co. Ltd. ,Japan,Construction and Engineering,687,882,34,34425300,JPY,"[]"
9039.TSE,Sakai Moving Service Co.Ltd. ,Japan,Cargo Ground Transportation,687,768,41,40659800,JPY,"[]"
3703.TW,Continental Holdings Corporation ,Taiwan,Construction and Engineering,685,919,823,823216000,TWD,"[]"
3010.TW,Wah Lee Industrial Corporation ,Taiwan,Technology Distributors,682,2126,236,236018000,TWD,"[]"
281740.KQ,Lake Materials Co. Ltd. ,South Korea,Commodity Chemicals,682,98,66,0,KRW,"[]"
003540.KO,Daishin Securities Co.Ltd ,South Korea,Investment Banking and Brokerage,681,2065,66,36939900,KRW,"[]"
6315.TSE,TOWA Corporation ,Japan,Semiconductor Materials and Equipment,679,337,25,25019600,JPY,"[tech-100,semiconductors-25]"
001800.KO,ORION Holdings Corp. ,South Korea,Packaged Foods and Meats,678,2303,60,60156700,KRW,"[]"
287410.KQ,Jeisys Medical Inc. ,South Korea,Health Care Equipment,678,95,76,4235000,KRW,"[]"
067160.KQ,AfreecaTV Co. Ltd. ,South Korea,Interactive Media and Services,677,244,11,10814400,KRW,"[consumer-50,entertainment-100]"
8370.TSE,The Kiyo Bank Ltd. ,Japan,Regional Banks,676,509,65,65243000,JPY,"[]"
1231.TW,Lian Hwa Foods Corporation ,Taiwan,Packaged Foods and Meats,676,353,247,246656000,TWD,"[]"
4369.TSE,Tri Chemical Laboratories Inc. ,Japan,Semiconductor Materials and Equipment,676,91,33,32497600,JPY,"[tech-100,semiconductors-25]"
1926.TSE,Raito Kogyo Co. Ltd. ,Japan,Construction and Engineering,675,808,49,48811000,JPY,"[]"
3632.TSE,GREE Inc. ,Japan,Interactive Home Entertainment,671,522,171,170655008,JPY,"[consumer-50]"
456040.KO,OCI Company Ltd. ,South Korea,Diversified Chemicals,669,-,7,0,KRW,"[]"
6104.TSE,Shibaura Machine Co.Ltd. ,Japan,Industrial Machinery and Supplies and Components,669,909,24,24162500,JPY,"[]"
2727.TW,Wowprime Corp. ,Taiwan,Restaurants,668,677,82,82056200,TWD,"[]"
2208.TW,CSBC Corporation ,Taiwan,Construction Machinery and Heavy Transportation Equipment,662,754,934,931787008,TWD,"[]"
3380.TW,Alpha Networks Inc. ,Taiwan,Communications Equipment,662,1094,542,541718976,TWD,"[tech-100]"
4559.TSE,Zeria Pharmaceutical Co. Ltd. ,Japan,Pharmaceuticals,661,487,44,44080200,JPY,"[]"
4423.TSE,ARTERIA Networks Corporation ,Japan,Alternative Carriers,660,418,50,49940500,JPY,"[]"
5425.TWO,Taiwan Semiconductor Co. Ltd. ,Taiwan,Semiconductors,660,493,249,248684992,TWD,"[]"
6908.TSE,Iriso Electronics Co. Ltd. ,Japan,Electronic Components,658,370,24,23523800,JPY,"[tech-100]"
9940.TW,Sinyi Realty Inc. ,Taiwan,Real Estate Services,656,464,737,736846976,TWD,"[]"
9937.TW,National Petroleum Co. Ltd. ,Taiwan,Automotive Retail,655,780,309,309043008,TWD,"[consumer-50]"
8977.TSE,Hankyu Hanshin REIT Inc. ,Japan,Diversified REITs,653,83,1,695200,JPY,"[]"
001430.KO,SeAH Besteel Holdings Corporation ,South Korea,Steel,651,3337,36,35862100,KRW,"[]"
7296.TSE,F.C.C. Co. Ltd. ,Japan,Automotive Parts and Equipment,650,1570,50,49727700,JPY,"[]"
014820.KO,Dongwon Systems Corporation ,South Korea,Metal Glass and Plastic Containers,646,1056,29,28991300,KRW,"[]"
8388.TSE,The Awa Bank Ltd. ,Japan,Regional Banks,646,525,41,40767000,JPY,"[]"
2681.TSE,Geo Holdings Corporation ,Japan,Other Specialty Retail,644,2785,40,39534100,JPY,"[]"
010780.KO,IS DongSeo Co. Ltd. ,South Korea,Construction and Engineering,639,1678,30,30187000,KRW,"[]"
089590.KO,Jeju Air Co. Ltd. ,South Korea,Passenger Airlines,632,982,77,76923800,KRW,"[consumer-50]"
6533.TW,Andes Technology Corporation ,Taiwan,Semiconductors,623,32,51,50651000,TWD,"[]"
036540.KQ,SFA Semicon Co. Ltd. ,South Korea,Semiconductors,611,443,164,140396000,KRW,"[]"
5122.TSE,Okamoto Industries Inc. ,Japan,Commodity Chemicals,608,704,18,17595300,JPY,"[]"
2392.TW,Cheng Uei Precision Industry Co. Ltd. ,Taiwan,Electronic Components,606,2896,477,477262016,TWD,"[tech-100]"
271940.KO,Iljin Hysolus Co. Ltd. ,South Korea,Automotive Parts and Equipment,606,73,36,36313200,KRW,"[]"
8544.TSE,The Keiyo Bank Ltd. ,Japan,Regional Banks,604,456,126,125566000,JPY,"[]"
5440.TSE,Kyoei Steel Ltd. ,Japan,Steel,604,2360,43,43459000,JPY,"[]"
7130.TSE,Yamae Group Holdings Co.Ltd. ,Japan,Distributors,598,4172,24,23686600,JPY,"[]"
6703.TSE,Oki Electric Industry Co. Ltd. ,Japan,Electronic Equipment and Instruments,598,2576,87,86619600,JPY,"[tech-100]"
2328.TW,Pan-International Industrial Corp. ,Taiwan,Electronic Components,596,846,518,518345984,TWD,"[tech-100]"
4105.TWO,TTY Biopharm Company Limited ,Taiwan,Pharmaceuticals,596,170,249,248650000,TWD,"[]"
365550.KO,ESR Kendall Square REIT Co. Ltd. ,South Korea,Industrial REITs,595,75,213,213088992,KRW,"[]"
8155.TSE,Mimasu Semiconductor Industry Co. Ltd. ,Japan,Semiconductor Materials and Equipment,595,651,32,32124600,JPY,"[tech-100,semiconductors-25]"
2850.TW,Shinkong Insurance Co. Ltd. ,Taiwan,Property and Casualty Insurance,593,614,316,315963008,TWD,"[]"
8074.TSE,Yuasa Trading Co. Ltd. ,Japan,Trading Companies and Distributors,593,3501,21,21047000,JPY,"[]"
6652.TSE,IDEC Corporation ,Japan,Electrical Components and Equipment,592,566,29,29258500,JPY,"[]"
4979.TWO,LuxNet Corporation ,Taiwan,Communications Equipment,588,61,132,132340000,TWD,"[tech-100]"
2704.TW,The Ambassador HotelLtd. ,Taiwan,Hotels Resorts and Cruise Lines,587,46,367,366923008,TWD,"[]"
7283.TSE,Aisan Industry Co. Ltd. ,Japan,Automotive Parts and Equipment,584,1796,63,62592500,JPY,"[]"
7250.TSE,Pacific Industrial Co. Ltd. ,Japan,Automotive Parts and Equipment,584,1356,59,59642000,JPY,"[]"
4051.TSE,GMO Financial Gate Inc. ,Japan,Transaction and Payment Processing Services,583,103,8,8305090,JPY,"[]"
6732.TWO,Sensortek Technology Corp. ,Taiwan,Electronic Components,582,114,49,48912000,TWD,"[tech-100]"
2597.TW,Ruentex Engineering & Construction Co. Ltd. ,Taiwan,Construction and Engineering,577,754,185,184950000,TWD,"[]"
1515.TSE,Nittetsu Mining Co. Ltd. ,Japan,Diversified Metals and Mining,569,1132,17,16636700,JPY,"[]"
3587.TWO,Materials Analysis Technology Inc. ,Taiwan,Semiconductor Materials and Equipment,568,146,69,62487600,TWD,"[tech-100,semiconductors-25]"
8219.TSE,Aoyama Trading Co. Ltd. ,Japan,Apparel Retail,568,1293,50,49842800,JPY,"[consumer-50]"
181710.KO,NHN Corporation ,South Korea,Interactive Home Entertainment,566,1657,34,33705800,KRW,"[consumer-50]"
3493.TSE,Advance Logistics Investment Corporation ,Japan,Industrial REITs,566,49,1,674400,JPY,"[]"
3993.TSE,PKSHA Technology Inc. ,Japan,Application Software,565,91,31,31116600,JPY,"[tech-100]"
020560.KO,Asiana Airlines Inc. ,South Korea,Passenger Airlines,561,5303,74,74411800,KRW,"[consumer-50]"
7868.TSE,KOSAIDO Holdings Co. Ltd. ,Japan,Commercial Printing,561,252,27,26938400,JPY,"[]"
3413.TW,Foxsemicon Integrated Technology Inc. ,Taiwan,Semiconductor Materials and Equipment,560,479,97,97160000,TWD,"[tech-100,semiconductors-25]"
4293.TSE,Septeni Holdings Co. Ltd. ,Japan,Advertising,559,200,207,208799008,JPY,"[]"
3476.TSE,MIRAI Corporation ,Japan,Office REITs,556,93,2,1771440,JPY,"[]"
1536.TW,Hota Industrial Mfg. Co. Ltd. ,Taiwan,Automotive Parts and Equipment,555,235,280,279518016,TWD,"[]"
058970.KQ,EMRO. Incorporated. ,South Korea,Application Software,554,45,11,0,KRW,"[tech-100]"
7915.TSE,Nissha Co. Ltd. ,Japan,Electronic Components,552,1306,49,48932800,JPY,"[tech-100]"
9229.TSE,Sunwels Co.Ltd. ,Japan,Health Care Facilities,543,107,30,29883300,JPY,"[]"
015750.KQ,Sungwoo Hitech Co. Ltd. ,South Korea,Automotive Parts and Equipment,543,3249,80,79991600,KRW,"[]"
082640.KO,Tong Yang Life Insurance Co. Ltd. ,South Korea,Life and Health Insurance,542,7659,156,155890000,KRW,"[]"
2501.TW,Cathay Real Estate Development Co.Ltd. ,Taiwan,Real Estate Development,542,648,1160,1159559936,TWD,"[]"
1885.TSE,TOA Corporation ,Japan,Construction and Engineering,537,1584,21,20801100,JPY,"[]"
2608.TW,Kerry TJ Logistics Company Limited ,Taiwan,Air Freight and Logistics,536,390,467,467000000,TWD,"[]"
039130.KO,Hanatour Service Inc. ,South Korea,Hotels Resorts and Cruise Lines,532,189,16,15489900,KRW,"[]"
5970.TSE,G-Tekt Corporation ,Japan,Automotive Parts and Equipment,532,2253,43,43010000,JPY,"[]"
8131.TW,Formosa Advanced Technologies Co. Ltd. ,Taiwan,Semiconductors,529,296,442,442222016,TWD,"[]"
4212.TSE,Sekisui Jushi Corporation ,Japan,Building Products,529,455,33,32810800,JPY,"[]"
6810.TSE,Maxell Ltd. ,Japan,Electronic Components,527,918,46,45824400,JPY,"[tech-100]"
4956.TSE,Konishi Co. Ltd. ,Japan,Commodity Chemicals,526,882,33,33457600,JPY,"[]"
6023.TWO,Yuanta Futures Co. Ltd. ,Taiwan,Investment Banking and Brokerage,526,106,290,289976000,TWD,"[]"
9068.TSE,Maruzen Showa Unyu Co. Ltd. ,Japan,Cargo Ground Transportation,526,973,20,20289200,JPY,"[]"
7157.TSE,Lifenet Insurance Company ,Japan,Life and Health Insurance,522,166,80,69779504,JPY,"[]"
3636.TSE,Mitsubishi Research Institute Inc. ,Japan,IT Consulting and Other Services,521,843,16,16251100,JPY,"[]"
2913.TW,Taiwan Tea Corporation ,Taiwan,Packaged Foods and Meats,520,13,790,790000000,TWD,"[]"
