symbol,name,country,shares,currency,indicies
9467.TSE,AlphaPolis,Japan,9687130,JPY,entertainment-100
4644.TSE,Imagineer,Japan,9598000,JPY,entertainment-100
095660.KQ,Neowiz Games,South Korea,8856866,KRW,entertainment-100
2706.TSE,Broccoli,Japan,8747270,JPY,entertainment-100
3928.TSE,Mynet,Japan,8438710,JPY,entertainment-100
4334.TSE,Yuke's,Japan,8364960,JPY,entertainment-100
3912.TSE,Mobile Factory,Japan,7881340,JPY,entertainment-100
4728.TSE,Tose Software,Japan,7579940,JPY,entertainment-100
GRVY,Gravity Co.,South Korea,6948900,USD,entertainment-100
063080.KQ,Com2uS,South Korea,6595192,KRW,entertainment-100
200350.KQ,RaemongRaein,South Korea,6473104,KRW,entertainment-100
3760.TSE,CAVE Interactive,Japan,6466970,JPY,entertainment-100
3639.TSE,Voltage,Japan,6422090,JPY,entertainment-100
3935.TSE,Edia,Japan,6127860,JPY,entertainment-100
4175.TSE,coly,Japan,5502820,JPY,entertainment-100
408900.KO,Studio Mir,South Korea,5360550,KRW,entertainment-100
3851.TSE,Nippon Ichi Software,Japan,5040540,JPY,entertainment-100
4174.TSE,Appirits,Japan,4101360,JPY,entertainment-100
4393.TSE,Bank of Innovation,Japan,4002970,JPY,entertainment-100
3907.TSE,Silicon Studio,Japan,2948880,JPY,entertainment-100
4199.TSE,WonderPlanet,Japan,2541780,JPY,entertainment-100
241840.KQ,ASTORY,South Korea,953999,KRW,entertainment-100
