symbol,name,country,cap,shares-dads,currency,OLD DATA,shares,indicies
6460.TSE,Sega Sammy Holdings,Japan,Mid Cap,220744992,JPY,6460.TSE,220744992,"[kpop_shares - tech100]"
5347.TWO,Vanguard International Semiconductor,Taiwan,Mid Cap,1638979968,TWD,5347.TWO,1638979968,"[kpop_shares - tech100]"
7731.TSE,Nikon,Japan,Mid Cap,347696000,JPY,NINOY,346172992,"[kpop_shares - tech100]"
3661.TW,Alchip Technologies,Taiwan,Mid Cap,73889296,TWD,3661.TW,73889296,"[kpop_shares - tech100]"
6770.TW,Powerchip Semiconductor Manufacturing,Taiwan,Mid Cap,4065649920,TWD,6770.TW,4065649920,"[kpop_shares - tech100]"
4751.TSE,CyberAgent,Japan,Mid Cap,506076992,JPY,4751.TSE,506076992,"[kpop_shares - tech100]"
4385.TSE,Mercari,Japan,Mid Cap,161652992,JPY,4385.TSE,161652992,"[kpop_shares - tech100]"
2353.TW,Acer,Taiwan,Mid Cap,3001110016,TWD,2353.TW,3001110016,"[kpop_shares - tech100]"
5483.TWO,Sino-American Silicon Products,Taiwan,Mid Cap,586222016,TWD,5483.TWO,586222016,"[kpop_shares - tech100]"
6789.TW,VisEra Technologies,Taiwan,Micro Cap,315776992,TWD,6789.TW,315776992,"[kpop_shares - tech100]"
3105.TWO,WIN Semiconductors,Taiwan,Mid Cap,423940000,TWD,3105.TWO,423940000,"[kpop_shares - tech100]"
3532.TW,Formosa Sumco Technology,Taiwan,Mid Cap,387848000,TWD,3532.TW,387848000,"[kpop_shares - tech100]"
214150.KO,Classys,South Korea,Small Cap,64,689,751,KRW,214150.KO,0,"[kpop_shares - tech100]"
277810.KO,Rainbow Robotics,South Korea,Small Cap,16,218,270,KRW,277810.KO,0,"[kpop_shares - tech100]"
2432.TSE,DeNA,Japan,Small Cap,111340000,JPY,2432.TSE,111340000,"[kpop_shares - tech100]"
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY,2121.TSE,72973000,"[kpop_shares - tech100]"
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY,3765.TSE,59896300,"[kpop_shares - tech100]"
HIMX,Himax,Taiwan,Small Cap,174400000,USD,HIMX,174400000,"[kpop_shares - tech100]"
039030.KO,EO Technics,South Korea,Small Cap,12,102,153,KRW,039030.KO,0,"[kpop_shares - tech100]"
8150.TW,ChipMOS Technologies,Taiwan,Small Cap,36362000,TWD,IMOS,727240000,"[kpop_shares - tech100]"
101490.KO,S&S Tech,South Korea,Small Cap,21,451,447,KRW,101490.KO,0,"[kpop_shares - tech100]"
3632.TSE,Gree,Japan,Small Cap,173364992,JPY,3632.TSE,173364992,"[kpop_shares - tech100]"
137400.KO,People & Technology,South Korea,Small Cap,22,741,198,KRW,137400.KO,0,"[kpop_shares - tech100]"
095660.KO,Neowiz Games,South Korea,Small Cap,22,033,719,KRW,095660.KO,0,"[kpop_shares - tech100]"
063080.KO,Com2uS,South Korea,Small Cap,6,595,192,KRW,078340.KO,0,"[kpop_shares - tech100]"
3668.TSE,COLOPL,Japan,Small Cap,128276000,JPY,3668.TSE,128276000,"[kpop_shares - tech100]"
PERF,Perfect Corp.,Taiwan,Small Cap,101475000,USD,PERF,101475000,"[kpop_shares - tech100]"
112040.KO,Wemade,South Korea,Small Cap,33,796,962,KRW,112040.KO,0,"[kpop_shares - tech100]"
263750.KO,Pearl Abyss,South Korea,Small Cap,64,247,855,KRW,263750.KO,0,"[kpop_shares - tech100]"
3629.TWO,Gravity Co.,South Korea,Small Cap,6948900,TWD,GRVY,33076000,"[kpop_shares - tech100]"
053800.KO,AhnLab,South Korea,Small Cap,10,013,855,KRW,053800.KO,0,"[kpop_shares - tech100]"
3694.TSE,OPTiM,Japan,Small Cap,55052500,JPY,3694.TSE,55052500,"[kpop_shares - tech100]"
069080.KO,Webzen,South Korea,Small Cap,34,950,884,KRW,069080.KO,0,"[kpop_shares - tech100]"
7844.TSE,Marvelous,Japan,Small Cap,60468600,JPY,7844.TSE,60468600,"[kpop_shares - tech100]"
4165.TSE,PLAID Inc.,Japan,Micro Cap,39185500,JPY,4165.TSE,39185500,"[kpop_shares - tech100]"
2497.TSE,UNITED,Japan,Micro Cap,38081600,JPY,2497.TSE,38081600,"[kpop_shares - tech100]"
3903.TSE,gumi,Japan,Micro Cap,39249200,JPY,3903.TSE,39249200,"[kpop_shares - tech100]"
4434.TSE,Serverworks,Japan,Micro Cap,7794960,JPY,4434.TSE,7794960,"[kpop_shares - tech100]"
3793.TSE,Drecom,Japan,Micro Cap,28492200,JPY,3793.TSE,28492200,"[kpop_shares - tech100]"
098460.KO,Koh Young Technology,South Korea,Micro Cap,68,654,755,KRW,098460.KO,0,"[kpop_shares - tech100]"
3546.TWO,Userjoy Technology,Taiwan,Micro Cap,48177000,TWD,3546.TWO,48177000,"[kpop_shares - tech100]"
GRRR,Gorilla Technology,Taiwan,Micro Cap,67601504,USD,GRRR,67601504,"[kpop_shares - tech100]"
3656.TSE,KLab,Japan,Micro Cap,40450700,JPY,3656.TSE,40450700,"[kpop_shares - tech100]"
7060.TSE,geechs,Japan,Micro Cap,10021200,JPY,7060.TSE,10021200,"[kpop_shares - tech100]"
3667.TSE,enish,Japan,Micro Cap,17243500,JPY,3667.TSE,17243500,"[kpop_shares - tech100]"
3912.TSE,Mobile Factory,Japan,Micro Cap,7881340,JPY,3912.TSE,7881340,"[kpop_shares - tech100]"
3851.TSE,Nippon Ichi Software,Japan,Micro Cap,5040540,JPY,3851.TSE,5040540,"[kpop_shares - tech100]"
4728.TSE,Tose Software,Japan,Micro Cap,7579940,JPY,4728.TSE,7579940,"[kpop_shares - tech100]"
4174.TSE,Appirits,Japan,Micro Cap,4101360,JPY,4174.TSE,4101360,"[kpop_shares - tech100]"
3907.TSE,Silicon Studio,Japan,Micro Cap,2948880,JPY,3907.TSE,2948880,"[kpop_shares - tech100]"
9421.TSE,NJ Holdings,Japan,Micro Cap,5292850,JPY,9421.TSE,5292850,"[kpop_shares - tech100]"
4199.TSE,WonderPlanet,Japan,Micro Cap,2541780,JPY,4199.TSE,2541780,"[kpop_shares - tech100]"
