id,symbol,name,currency,country,shares,cap_index,indicies
944,4704.TSE,Trend Micro,JPY,Japan,135760992,Mid Cap,"[tech-100]"
941,4716.TSE,Oracle Corp Japan,JPY,Japan,128157000,Blue Chip,"[tech-100]"
739,4728.TSE,Tose Software,JPY,Japan,7579940,Micro Cap,"[video-75,entertainment-100,tech-100]"
740,4751.TSE,CyberAgent,JPY,Japan,506076992,Mid Cap,"[video-75,entertainment-100,tech-100]"
982,4755.TSE,Rakuten,JPY,Japan,2135209984,Mid Cap,"[tech-100]"
980,5347.TWO,Vanguard International Semiconductor,TWD,Taiwan,1638979968,Mid Cap,"[tech-100]"
966,5483.TWO,Sino-American Silicon Products,TWD,Taiwan,586222016,Mid Cap,"[tech-100]"
940,6146.TSE,Disco Corp.,JPY,Japan,108302000,Blue Chip,"[tech-100]"
748,6460.TSE,Sega Sammy Holdings,JPY,Japan,220744992,Mid Cap,"[video-75,entertainment-100,tech-100]"
961,6488.TWO,GlobalWafers,TWD,Taiwan,435236992,Mid Cap,"[tech-100]"
949,6669.TW,Wiwynn,TWD,Taiwan,174840992,Mid Cap,"[tech-100]"
953,6701.TSE,NEC Corp,JPY,Japan,266348000,Blue Chip,"[tech-100]"
981,6723.TSE,Renesas Electronics,JPY,Japan,1765200000,Blue Chip,"[tech-100]"
983,6752.TSE,Panasonic,JPY,Japan,2334109952,Blue Chip,"[tech-100]"
754,6758.TSE,Sony,JPY,Japan,1233980032,Blue Chip,"[video-75,entertainment-100,tech-100]"
987,6770.TW,Powerchip Semiconductor Manufacturing,TWD,Taiwan,4065649920,Mid Cap,"[tech-100]"
957,6789.TW,VisEra Technologies,TWD,Taiwan,315776992,Micro Cap,"[tech-100]"
950,6857.TSE,Advantest,JPY,Japan,184214000,Blue Chip,"[tech-100]"
952,6861.TSE,Keyence,JPY,Japan,242526000,Blue Chip,"[tech-100]"
937,6920.TSE,Lasertec,JPY,Japan,90180704,Blue Chip,"[tech-100]"
