symbol,name,country,industry,shares,currency,indicies
8155.TSE,Mimasu Semiconductor Industry Co. Ltd.,Japan,Semiconductor Materials and Equipment,32124600,JPY,"[""tech-100"",""semiconductors-25""]"
6223.TWO,MPI Corporation,Taiwan,Semiconductor Materials and Equipment,94231104,TWD,"[""tech-100"",""semiconductors-25""]"
348210.KQ,NEXTIN Inc.,South Korea,Semiconductor Materials and Equipment,10196878,KRW,"[""tech-100"",""semiconductors-25""]"
6235.TSE,Optorun Co.Ltd.,Japan,Semiconductor Materials and Equipment,43520800,JPY,"[""tech-100"",""semiconductors-25""]"
053610.KQ,Protec Co. Ltd.,South Korea,Semiconductor Materials and Equipment,11000000,KRW,"[""tech-100"",""semiconductors-25""]"
031980.KQ,PSK HOLDINGS Inc.,South Korea,Semiconductor Materials and Equipment,21562395,KRW,"[""tech-100"",""semiconductors-25""]"
319660.KQ,PSK Inc.,South Korea,Semiconductor Materials and Equipment,28966714,KRW,"[""tech-100"",""semiconductors-25""]"
6323.TSE,Rorze Corporation,Japan,Semiconductor Materials and Equipment,17281300,JPY,"[""tech-100"",""semiconductors-25""]"
7735.TSE,SCREEN Holdings Co. Ltd.,Japan,Semiconductor Materials and Equipment,95137000,JPY,"[""tech-100"",""semiconductors-25""]"
2351.TW,SDI Corporation,Taiwan,Semiconductor Materials and Equipment,182140000,TWD,"[""tech-100"",""semiconductors-25""]"
6590.TSE,Shibaura Mechatronics Corporation,Japan,Semiconductor Materials and Equipment,13273300,JPY,"[""tech-100"",""semiconductors-25""]"
011930.KO,Shinsung E&G Co.Ltd.,South Korea,Semiconductor Materials and Equipment,205848151,KRW,"[""tech-100"",""semiconductors-25""]"
222800.KQ,SIMMTECH Co. Ltd.,South Korea,Semiconductor Materials and Equipment,31854143,KRW,"[""tech-100"",""semiconductors-25""]"
6937.TWO,Skytech Inc.,Taiwan,Semiconductor Materials and Equipment,60677263,TWD,"[""tech-100"",""semiconductors-25""]"
039440.KQ,STI Co. Ltd.,South Korea,Semiconductor Materials and Equipment,15830000,KRW,"[""tech-100"",""semiconductors-25""]"
3436.TSE,Sumco Corporation,Japan,Semiconductor Materials and Equipment,350167008,JPY,"[""tech-100"",""semiconductors-25""]"
2338.TW,Taiwan Mask Corporation,Taiwan,Semiconductor Materials and Equipment,212654000,TWD,"[""tech-100"",""semiconductors-25""]"
6826.TWO,Taiwan Puritic Corp.,Taiwan,Semiconductor Materials and Equipment,60800000,TWD,"[""tech-100"",""semiconductors-25""]"
6266.TSE,Tazmo Co. Ltd.,Japan,Semiconductor Materials and Equipment,14572400,JPY,"[""tech-100"",""semiconductors-25""]"
425040.KQ,TEMC Co. Ltd.,South Korea,Semiconductor Materials and Equipment,10626114,KRW,"[""tech-100"",""semiconductors-25""]"
095610.KQ,TES Co. Ltd,South Korea,Semiconductor Materials and Equipment,19768226,KRW,"[""tech-100"",""semiconductors-25""]"
425420.KQ,Tfe Inc.,South Korea,Semiconductor Materials and Equipment,11381000,KRW,"[""tech-100"",""semiconductors-25""]"
064760.KQ,Tokai Carbon Korea Co. Ltd.,South Korea,Semiconductor Materials and Equipment,11675000,KRW,"[""tech-100"",""semiconductors-25""]"
7729.TSE,Tokyo Seimitsu Co. Ltd.,Japan,Semiconductor Materials and Equipment,40424900,JPY,"[""tech-100"",""semiconductors-25""]"
5434.TW,Topco Scientific Co.Ltd.,Taiwan,Semiconductor Materials and Equipment,188700000,TWD,"[""tech-100"",""semiconductors-25""]"
6315.TSE,TOWA Corporation,Japan,Semiconductor Materials and Equipment,25019600,JPY,"[""tech-100"",""semiconductors-25""]"
4369.TSE,Tri Chemical Laboratories Inc.,Japan,Semiconductor Materials and Equipment,32497600,JPY,"[""tech-100"",""semiconductors-25""]"
131290.KQ,TSE Co. Ltd,South Korea,Semiconductor Materials and Equipment,11061429,KRW,"[""tech-100"",""semiconductors-25""]"
6728.TSE,ULVAC Inc.,Japan,Semiconductor Materials and Equipment,49248700,JPY,"[""tech-100"",""semiconductors-25""]"
2455.TW,Visual Photonics Epitaxy Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,184906000,TWD,"[""tech-100"",""semiconductors-25""]"
6182.TWO,Wafer Works Corporation,Taiwan,Semiconductor Materials and Equipment,541884032,TWD,"[""tech-100"",""semiconductors-25""]"
6515.TW,WinWay Technology Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,34784000,TWD,"[""tech-100"",""semiconductors-25""]"
240810.KQ,Wonik Ips Co. Ltd,South Korea,Semiconductor Materials and Equipment,49083901,KRW,"[""tech-100"",""semiconductors-25""]"
074600.KQ,Wonik QnC Corporation,South Korea,Semiconductor Materials and Equipment,26288000,KRW,"[""tech-100"",""semiconductors-25""]"
079370.KQ,Zeus Co.Ltd.,South Korea,Semiconductor Materials and Equipment,10339000,KRW,"[""tech-100"",""semiconductors-25""]"
6579.TW,AAEON Technology Inc.,Taiwan,Technology Hardware Storage and Peripherals,160178000,TWD,[]
3856.TSE,Abalance Corporation,Japan,Heavy Electrical Equipment,17328100,JPY,[]
6565.TSE,Abhotel Co. Ltd.,Japan,Hotels Resorts and Cruise Lines,14175700,JPY,[]
298380.KQ,ABL Bio Inc.,South Korea,Biotechnology,47892539,KRW,[]
6282.TW,AcBel Polytech Inc.,Taiwan,Electrical Components and Equipment,733649984,TWD,[]
6811.TWO,Acer E-Enabling Service Business Inc.,Taiwan,IT Consulting and Other Services,41449000,TWD,[]
5536.TWO,Acter Group Corporation Limited,Taiwan,Construction and Engineering,123178000,TWD,[]
8255.TWO,Actron Technology Corporation,Taiwan,Automotive Parts and Equipment,92210200,TWD,[]
3260.TWO,ADATA Technology Co. Ltd.,Taiwan,Semiconductors,263464992,TWD,[]
4142.TW,Adimmune Corporation,Taiwan,Biotechnology,421508000,TWD,[]
6166.TW,Adlink Technology Inc.,Taiwan,Technology Hardware Storage and Peripherals,217496992,TWD,[]
7463.TSE,Advan Group Co. Ltd.,Japan,Trading Companies and Distributors,37083800,JPY,[]
4749.TWO,Advanced Echem Materials Company Limited,Taiwan,Semiconductors,81386365,TWD,[]
6781.TW,Advanced Energy Solution Holding Co. Ltd.,Taiwan,Electrical Components and Equipment,85419000,TWD,[]
121600.KQ,Advanced Nano Products Co. Ltd.,South Korea,Specialty Chemicals,12159878,KRW,[]
8261.TW,Advanced Power Electronics Co. Ltd.,Taiwan,Semiconductors,117891000,TWD,[]
1442.TW,Advancetek Enterprise Co.Ltd.,Taiwan,Real Estate Development,366212000,TWD,[]
6030.TSE,Adventure Inc.,Japan,Hotels Resorts and Cruise Lines,7523860,JPY,[]
161000.KO,Aekyungchemical Co. Ltd.,South Korea,Commodity Chemicals,48648709,KRW,[]
9787.TSE,Aeon Delight Co. Ltd.,Japan,Environmental and Facilities Services,48529800,JPY,[]
8905.TSE,AEON Mall Co. Ltd.,Japan,Real Estate Operating Companies,227555008,JPY,[]
2634.TW,Aerospace Industrial Development Corporation,Taiwan,Aerospace and Defense,941867008,TWD,[]
3693.TWO,AIC Inc.,Taiwan,Technology Hardware Storage and Peripherals,38491000,TWD,[]
6345.TSE,Aichi Corporation,Japan,Construction Machinery and Heavy Transportation Equipment,74026800,JPY,[]
7389.TSE,Aichi Financial Group Inc.,Japan,Regional Banks,48926900,JPY,[]
5482.TSE,Aichi Steel Corporation,Japan,Steel,19727800,JPY,[]
6118.TSE,Aida Engineering Ltd.,Japan,Industrial Machinery and Supplies and Components,59711900,JPY,[]
2630.TW,Air Asia Co. Ltd.,Taiwan,Aerospace and Defense,208359008,TWD,[]
4088.TSE,Air Water Inc.,Japan,Industrial Gases,227352000,JPY,[]
6526.TWO,Airoha Technology Corp.,Taiwan,Semiconductors,145505703,TWD,[]
6191.TSE,AirTrip Corp.,Japan,Hotels Resorts and Cruise Lines,22367200,JPY,[]
7283.TSE,Aisan Industry Co. Ltd.,Japan,Automotive Parts and Equipment,62592500,JPY,[]
9381.TSE,AIT Corporation,Japan,Air Freight and Logistics,23493600,JPY,[]
8708.TSE,Aizawa Securities Group Co. Ltd.,Japan,Investment Banking and Brokerage,37555500,JPY,[]
6785.TWO,Alar Pharmaceuticals Inc.,Taiwan,Pharmaceuticals,57000000,TWD,[]
3036.TSE,ALCONIX Corporation,Japan,Trading Companies and Distributors,30105500,JPY,[]
2784.TSE,Alfresa Holdings Corporation,Japan,Health Care Distributors,190636000,JPY,[]
4770.TW,Allied Supreme Corp.,Taiwan,Specialty Chemicals,79536000,TWD,[]
1514.TW,Allis Electric Co.Ltd.,Taiwan,Electrical Components and Equipment,244034000,TWD,[]
3209.TW,Alltek Technology Corporation,Taiwan,Technology Distributors,230028992,TWD,[]
354320.KQ,ALMAC Co. Ltd.,South Korea,Automotive Parts and Equipment,6391381,KRW,[]
3028.TSE,Alpen Co.Ltd.,Japan,Other Specialty Retail,38533300,JPY,[]
9055.TSE,Alps Logistics Co. Ltd.,Japan,Cargo Ground Transportation,35441600,JPY,[]
4641.TSE,Altech Corporation,Japan,Human Resource and Employment Services,19872700,JPY,[]
196170.KQ,ALTEOGEN Inc.,South Korea,Biotechnology,51770806,KRW,[]
001780.KO,Aluko Co. Ltd.,South Korea,Building Products,96414332,KRW,[]
6113.TSE,Amada Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,343828992,JPY,[]
6411.TWO,Amazing Microelectronic Corp.,Taiwan,Semiconductors,98266600,TWD,[]
5233.TWO,Amita Technologies Inc.,Taiwan,Electrical Components and Equipment,277249406,TWD,[]
2493.TW,Ampoc Far-East Co. Ltd.,Taiwan,Semiconductors,114437000,TWD,[]
7071.TSE,Amvis Holdings Inc.,Japan,Health Care Facilities,97997296,JPY,[]
6291.TWO,Analog Integrations Corporation,Taiwan,Semiconductors,42000000,TWD,[]
6533.TW,Andes Technology Corporation,Taiwan,Semiconductors,50651000,TWD,[]
6381.TSE,ANEST IWATA Corporation,Japan,Industrial Machinery and Supplies and Components,40466900,JPY,[]
8715.TSE,Anicom Holdings Inc.,Japan,Property and Casualty Insurance,80016704,JPY,[]
6138.TWO,Anpec Electronics Corporation,Taiwan,Semiconductors,73786200,TWD,[]
8304.TSE,Aozora Bank Ltd.,Japan,Diversified Banks,116781000,JPY,[]
6531.TW,AP Memory Technology Corporation,Taiwan,Semiconductors,161858000,TWD,[]
4583.TW,Apex Dynamics Inc.,Taiwan,Industrial Machinery and Supplies and Components,80171400,TWD,[]
2733.TSE,Arata Corporation,Japan,Distributors,17077500,JPY,[]
3264.TWO,Ardentec Corporation,Taiwan,Semiconductors,473920000,TWD,[]
5857.TSE,ARE Holdings Inc.,Japan,Precious Metals and Minerals,76643200,JPY,[]
8914.TSE,Arealink Co. Ltd.,Japan,Real Estate Operating Companies,12677500,JPY,[]
7595.TSE,ARGO GRAPHICS Inc.,Japan,IT Consulting and Other Services,21318900,JPY,[]
2815.TSE,ARIAKE JAPAN Co. Ltd.,Japan,Packaged Foods and Meats,31849700,JPY,[]
4423.TSE,ARTERIA Networks Corporation,Japan,Alternative Carriers,49940500,JPY,[]
6140.TSE,Asahi Diamond Industrial Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,51554700,JPY,[]
4216.TSE,Asahi Yukizai Corporation,Japan,Commodity Chemicals,19158300,JPY,[]
1852.TSE,Asanuma Corporation,Japan,Construction and Engineering,16144400,JPY,[]
183190.KO,Asia Cement Co.Ltd.,South Korea,Construction Materials,38958090,KRW,[]
