name,symbol,country,industry,Market Capitalization,"Total Revenue ",Shares Outstanding (mm)
Cathay No.1 REIT,01002T.TW,Taiwan,Diversified REITs,772,25,1393
Shin Kong No. 1 REIT,01003T.TW,Taiwan,Diversified REITs,764,25,1130
King's Town Millerful No.1 Real Estate Investment Trust,01010T.TW,Taiwan,Diversified REITs,515,30,1658
Cathay No.2 REIT,01007T.TW,Taiwan,Office REITs,384,16,720
Fubon No.2 Real Estate Investment Trust,01004T.TW,Taiwan,Office REITs,310,17,730
