symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
3244.TSE,Samty Co. Ltd. ,Japan,Diversified Real Estate Activities,746,1128,47,46522100,JPY,"[]"
3576.TW,United Renewable Energy Co. Ltd. ,Taiwan,Semiconductors,737,573,1609,1626729984,TWD,"[]"
3191.TSE,Joyful Honda Co.Ltd. ,Japan,Home Improvement Retail,728,914,62,62134300,JPY,"[consumer-50]"
1766.TSE,Token Corporation ,Japan,Homebuilding,724,2272,13,13444100,JPY,"[]"
3715.TW,Dynamic Holding Co. Ltd. ,Taiwan,Electronic Components,723,480,278,277518016,TWD,"[tech-100]"
100090.KO,SK oceanplant Co.Ltd ,South Korea,Construction Machinery and Heavy Transportation Equipment,722,629,53,53235000,KRW,"[]"
1707.TW,Grape King Bio Ltd ,Taiwan,Personal Care Products,718,337,148,148136992,TWD,"[consumer-50]"
6691.TW,Yankey Engineering Co. Ltd. ,Taiwan,Construction and Engineering,709,506,87,87388800,TWD,"[]"
1232.TW,TTET Union Corporation ,Taiwan,Packaged Foods and Meats,703,799,160,159975008,TWD,"[]"
9025.TSE,Konoike Transport Co.Ltd. ,Japan,Air Freight and Logistics,702,2160,53,52990600,JPY,"[]"
9842.TSE,Arclands Corporation ,Japan,Home Improvement Retail,696,2334,64,67325904,JPY,"[consumer-50]"
8081.TW,Global Mixed-Mode Technology Inc. ,Taiwan,Semiconductors,695,236,86,85729000,TWD,"[]"
1304.TW,USI Corporation ,Taiwan,Commodity Chemicals,691,1842,1072,1072300032,TWD,"[]"
348370.KQ,Enchem Co. Ltd. ,South Korea,Commodity Chemicals,686,421,16,0,KRW,"[]"
000210.KO,DL Holdings CO. LTD. ,South Korea,Commodity Chemicals,682,4046,23,20930700,KRW,"[]"
1789.TW,ScinoPharm Taiwan Ltd. ,Taiwan,Pharmaceuticals,675,100,791,790739008,TWD,"[]"
6366.TSE,Chiyoda Corporation ,Japan,Construction and Engineering,671,3346,259,258972000,JPY,"[]"
298380.KQ,ABL Bio Inc. ,South Korea,Biotechnology,670,74,48,45303400,KRW,"[]"
3738.TSE,T-Gaia Corporation ,Japan,Computer and Electronics Retail,665,3054,56,55791700,JPY,"[consumer-50]"
9110.TSE,NS United Kaiun Kaisha Ltd. ,Japan,Marine Transportation,663,1687,24,23566000,JPY,"[]"
6420.TSE,Fukushima Galilei Co.Ltd. ,Japan,Industrial Machinery and Supplies and Components,662,745,20,20063200,JPY,"[]"
3101.TSE,Toyobo Co. Ltd. ,Japan,Commodity Chemicals,657,2738,88,88011200,JPY,"[]"
2733.TSE,Arata Corporation ,Japan,Distributors,656,6272,17,17077500,JPY,"[]"
3006.TW,Elite Semiconductor Microelectronics Tech Inc ,Taiwan,Semiconductors,656,381,273,272462016,TWD,"[]"
7864.TSE,Fuji Seal International Inc. ,Japan,Metal Glass and Plastic Containers,653,1296,55,54770500,JPY,"[]"
003030.KO,SeAH Steel Holdings Corporation ,South Korea,Steel,650,3083,4,4040460,KRW,"[]"
8070.TW,Chang Wah Electromaterials Inc. ,Taiwan,Technology Distributors,649,601,673,673372992,TWD,"[]"
299030.KQ,Hana Technology Co. Ltd. ,South Korea,Industrial Machinery and Supplies and Components,649,92,8,0,KRW,"[]"
6804.TSE,Hosiden Corporation ,Japan,Electronic Components,648,1814,50,51678200,JPY,"[tech-100]"
2340.TW,Taiwan-Asia Semiconductor Corporation ,Taiwan,Semiconductors,645,121,438,437868000,TWD,"[]"
8336.TSE,The Musashino Bank Ltd. ,Japan,Regional Banks,639,532,33,33144600,JPY,"[]"
3459.TSE,Samty Residential Investment Corporation ,Japan,Multi-Family Residential REITs,636,79,1,838726,JPY,"[]"
5536.TWO,Acter Group Corporation Limited ,Taiwan,Construction and Engineering,626,909,123,123178000,TWD,"[]"
8714.TSE,Senshu Ikeda Holdings Inc. ,Japan,Regional Banks,619,603,280,280342016,JPY,"[]"
3704.TW,Zyxel Group Corporation ,Taiwan,Communications Equipment,615,1066,396,395303008,TWD,"[tech-100]"
8892.TSE,ES-CON JAPAN Ltd. ,Japan,Homebuilding,609,737,95,95258096,JPY,"[]"
6223.TWO,MPI Corporation ,Taiwan,Semiconductor Materials and Equipment,600,245,94,94231104,TWD,"[tech-100,semiconductors-25]"
2820.TW,China Bills Finance Corporation ,Taiwan,Investment Banking and Brokerage,599,58,1343,1342960000,TWD,"[]"
8422.TW,Cleanaway Company Limited ,Taiwan,Environmental and Facilities Services,598,173,109,109123000,TWD,"[]"
1961.TSE,Sanki Engineering Co. Ltd. ,Japan,Construction and Engineering,595,1370,54,54511700,JPY,"[]"
178920.KO,PI Advanced Materials Co. Ltd. ,South Korea,Commodity Chemicals,590,172,29,0,KRW,"[]"
2692.TSE,ITOCHU-SHOKUHIN Co. Ltd. ,Japan,Food Distributors,583,4494,13,12687100,JPY,"[]"
2362.TW,Clevo Co. ,Taiwan,Technology Hardware Storage and Peripherals,574,718,585,585216000,TWD,"[]"
002840.KO,Miwon Commercial Co. Ltd. ,South Korea,Specialty Chemicals,572,325,5,4770000,KRW,"[]"
6080.TSE,M&A Capital Partners Co.Ltd. ,Japan,Investment Banking and Brokerage,571,156,32,31758600,JPY,"[]"
1720.TSE,Tokyu Construction Co. Ltd. ,Japan,Construction and Engineering,564,2008,105,105132000,JPY,"[]"
2520.TW,Kindom Development Co. Ltd. ,Taiwan,Real Estate Development,559,666,543,553169984,TWD,"[]"
8079.TSE,Shoei Foods Corporation ,Japan,Food Distributors,552,758,17,16836700,JPY,"[]"
6379.TSE,RAIZNEXT Corporation ,Japan,Construction and Engineering,545,973,54,54099100,JPY,"[]"
9413.TSE,TV TOKYO Holdings Corporation ,Japan,Broadcasting,542,1033,27,27048400,JPY,"[consumer-50,entertainment-100]"
2511.TW,Prince Housing & Development Corp. ,Taiwan,Real Estate Development,539,280,1623,1622669952,TWD,"[]"
2401.TW,Sunplus Technology Company Limited ,Taiwan,Semiconductors,531,167,588,588435008,TWD,"[]"
268280.KO,Miwon Specialty Chemical Co. Ltd. ,South Korea,Specialty Chemicals,526,379,5,4956000,KRW,"[]"
9887.TSE,Matsuya Foods Holdings Co. Ltd. ,Japan,Restaurants,526,759,19,19063700,JPY,"[]"
060280.KQ,Curexo Inc. ,South Korea,Food Distributors,522,56,41,33357300,KRW,"[]"
3545.TW,FocalTech Systems Co. Ltd. ,Taiwan,Semiconductors,504,387,215,214644992,TWD,"[]"
7599.TSE,IDOM Inc. ,Japan,Automotive Retail,500,2764,100,100407000,JPY,"[consumer-50]"
003380.KQ,Harim Holdings Co. Ltd. ,South Korea,Packaged Foods and Meats,499,10046,96,93584200,KRW,"[]"
294870.KO,HDC Hyundai Development Company ,South Korea,Construction and Engineering,490,2780,65,64178800,KRW,"[]"
2355.TW,Chin-Poon Industrial Co. Ltd. ,Taiwan,Electronic Components,485,542,398,397495008,TWD,"[tech-100]"
1712.TW,Sinon Corporation ,Taiwan,Fertilizers and Agricultural Chemicals,477,660,421,420492000,TWD,"[]"
5530.TWO,Lungyen Life Service Corporation ,Taiwan,Specialized Consumer Services,477,124,420,420084000,TWD,"[]"
001470.KO,Sambu Engineering & Construction Co. Ltd ,South Korea,Construction and Engineering,476,454,204,204259008,KRW,"[]"
6443.TW,TSEC Corporation ,Taiwan,Semiconductors,474,310,539,512796992,TWD,"[]"
7917.TSE,Fujimori Kogyo Co. Ltd. ,Japan,Commodity Chemicals,473,885,19,18823600,JPY,"[]"
1663.TSE,K&O Energy Group Inc. ,Japan,Gas Utilities,471,744,27,26599200,JPY,"[]"
2874.TSE,Yokorei Co.Ltd. ,Japan,Food Distributors,471,897,59,58801500,JPY,"[]"
7366.TSE,LITALICO Inc. ,Japan,Education Services,471,177,36,35676700,JPY,"[consumer-50]"
6455.TSE,Morita Holdings Corporation ,Japan,Construction Machinery and Heavy Transportation Equipment,470,578,44,43806900,JPY,"[]"
7718.TSE,Star Micronics Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,470,630,37,37215300,JPY,"[]"
4536.TW,Topkey Corporation ,Taiwan,Leisure Products,470,365,91,90820000,TWD,"[consumer-50]"
6340.TSE,Shibuya Corporation ,Japan,Industrial Machinery and Supplies and Components,468,677,28,27667100,JPY,"[]"
3376.TW,Shin Zu Shing Co. Ltd. ,Taiwan,Industrial Machinery and Supplies and Components,468,322,188,187748000,TWD,"[]"
4617.TSE,Chugoku Marine Paints Ltd. ,Japan,Specialty Chemicals,468,724,50,49554000,JPY,"[]"
000640.KO,Dong-A Socio Holdings Co. Ltd. ,South Korea,Pharmaceuticals,465,813,6,6250720,KRW,"[]"
272290.KQ,INNOX Advanced Materials Co.Ltd. ,South Korea,Semiconductor Materials and Equipment,462,317,20,9005240,KRW,"[tech-100,semiconductors-25]"
8016.TSE,Onward Holdings Co. Ltd. ,Japan,Apparel Accessories and Luxury Goods,462,1299,136,135716992,JPY,"[consumer-50]"
8117.TSE,Central Automotive Products Ltd. ,Japan,Distributors,460,260,18,18381700,JPY,"[]"
6287.TSE,Sato Holdings Corporation ,Japan,Office Services and Supplies,458,990,32,32389200,JPY,"[]"
7447.TSE,Nagaileben Co. Ltd. ,Japan,Health Care Supplies,458,124,32,32104300,JPY,"[]"
7095.TSE,Macbee Planet Inc. ,Japan,Advertising,454,171,4,3577980,JPY,"[]"
8508.TSE,J Trust Co. Ltd. ,Japan,Consumer Finance,450,710,137,137428992,JPY,"[consumer-50]"
8818.TSE,Keihanshin Building Co. Ltd. ,Japan,Real Estate Operating Companies,447,133,49,48975000,JPY,"[]"
6999.TSE,KOA Corporation ,Japan,Electronic Components,445,508,37,37075100,JPY,"[tech-100]"
7128.TSE,MARUKA FURUSATO Corporation ,Japan,Trading Companies and Distributors,439,1180,24,25327800,JPY,"[]"
2168.TSE,Pasona Group Inc. ,Japan,Human Resource and Employment Services,437,2667,40,39174200,JPY,"[]"
6202.TW,Holtek Semiconductor Inc. ,Taiwan,Semiconductors,435,125,226,226168000,TWD,"[]"
2605.TW,Sincere Navigation Corporation ,Taiwan,Marine Transportation,432,146,585,585353024,TWD,"[]"
2338.TW,Taiwan Mask Corporation ,Taiwan,Semiconductor Materials and Equipment,430,238,206,212654000,TWD,"[tech-100,semiconductors-25]"
5805.TSE,SWCC Corporation ,Japan,Electrical Components and Equipment,430,1435,30,29881900,JPY,"[]"
4343.TSE,AEON Fantasy Co.LTD. ,Japan,Leisure Facilities,430,539,20,19766900,JPY,"[consumer-50]"
8942.TWO,Xxentria Technology Materials Co. Ltd. ,Taiwan,Building Products,429,183,182,182424000,TWD,"[]"
249420.KO,Ildong Pharmaceutical Co. Ltd. ,South Korea,Pharmaceuticals,429,468,28,26785300,KRW,"[]"
6364.TSE,Hokuetsu Industries Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,426,348,30,28207900,JPY,"[]"
4008.TSE,Sumitomo Seika Chemicals Company Limited. ,Japan,Specialty Chemicals,420,970,14,13499500,JPY,"[]"
6222.TSE,Shima Seiki Mfg.Ltd. ,Japan,Industrial Machinery and Supplies and Components,418,279,35,34515000,JPY,"[]"
068240.KQ,Dawonsys Co.Ltd. ,South Korea,Construction Machinery and Heavy Transportation Equipment,417,238,34,26441900,KRW,"[]"
257720.KQ,SILICON2 Co. Ltd. ,South Korea,Distributors,416,174,60,0,KRW,"[]"
7942.TSE,JSP Corporation ,Japan,Commodity Chemicals,406,918,30,29808200,JPY,"[]"
8200.TSE,Ringer Hut Co.Ltd. ,Japan,Restaurants,405,278,26,25906400,JPY,"[]"
182400.KQ,NKMAX CO. Ltd. ,South Korea,Biotechnology,402,8,41,24864900,KRW,"[]"
3182.TSE,Oisix ra daichi Inc. ,Japan,Food Retail,397,806,37,36558100,JPY,"[consumer-50]"
001530.KO,Di Dong Il Corporation ,South Korea,Textiles,394,629,19,19368700,KRW,"[]"
8059.TSE,Daiichi Jitsugyo Co. Ltd. ,Japan,Trading Companies and Distributors,394,1096,32,31676300,JPY,"[]"
9722.TSE,Fujita Kanko Inc. ,Japan,Hotels Resorts and Cruise Lines,393,378,12,11985500,JPY,"[]"
4362.TSE,Nippon Fine Chemical Co. Ltd. ,Japan,Specialty Chemicals,393,246,23,22809100,JPY,"[]"
025540.KO,Korea Electric Terminal Co. Ltd. ,South Korea,Electrical Components and Equipment,388,955,10,10315000,KRW,"[]"
2208.TSE,Bourbon Corporation ,Japan,Packaged Foods and Meats,380,687,24,24024400,JPY,"[]"
7508.TSE,G-7 Holdings Inc. ,Japan,Food Retail,375,1245,44,44063300,JPY,"[consumer-50]"
3033.TW,Weikeng Industrial Co. Ltd. ,Taiwan,Technology Distributors,364,2245,427,428071008,TWD,"[]"
4438.TW,Quang Viet Enterprise Co. Ltd. ,Taiwan,Apparel Accessories and Luxury Goods,361,630,103,103425000,TWD,"[consumer-50]"
4820.TSE,EM Systems Co. Ltd. ,Japan,Health Care Technology,356,129,71,70649600,JPY,"[]"
4053.TSE,Sun* Inc. ,Japan,IT Consulting and Other Services,355,81,38,38055800,JPY,"[]"
5609.TWO,Dimerco Express Corporation ,Taiwan,Air Freight and Logistics,355,927,143,139888000,TWD,"[]"
083310.KQ,LOT VACUUM Co. Ltd. ,South Korea,Semiconductor Materials and Equipment,351,340,16,13005600,KRW,"[tech-100,semiconductors-25]"
006730.KQ,Seobu T&D Co. Ltd. ,South Korea,Hotels Resorts and Cruise Lines,345,115,59,55438900,KRW,"[]"
034310.KO,NICE Holdings Co. Ltd. ,South Korea,Specialized Finance,338,2095,35,35923200,KRW,"[]"
200880.KO,Seoyon E-Hwa Co. Ltd. ,South Korea,Automotive Parts and Equipment,332,2456,27,27022800,KRW,"[]"
5531.TW,Shining Building Business Co.Ltd. ,Taiwan,Real Estate Development,329,106,1078,977588992,TWD,"[]"
049070.KQ,Intops Co. Ltd. ,South Korea,Electronic Components,327,548,16,16795000,KRW,"[tech-100]"
6381.TSE,ANEST IWATA Corporation ,Japan,Industrial Machinery and Supplies and Components,325,351,41,40466900,JPY,"[]"
2484.TSE,Demae-Can Co.Ltd ,Japan,Restaurants,323,364,132,131664000,JPY,"[]"
6191.TSE,AirTrip Corp. ,Japan,Hotels Resorts and Cruise Lines,317,151,22,22367200,JPY,"[]"
4306.TW,Yem Chio Co. Ltd. ,Taiwan,Paper and Plastic Packaging Products and Materials,313,408,621,614587008,TWD,"[]"
3694.TSE,OPTiM Corporation ,Japan,Systems Software,313,65,55,55054200,JPY,"[tech-100]"
6620.TSE,Miyakoshi Holdings Inc. ,Japan,Real Estate Operating Companies,307,9,40,40014000,JPY,"[]"
2472.TW,Lelon Electronics Corp. ,Taiwan,Electronic Components,299,298,164,164735008,TWD,"[tech-100]"
