date,024720.KO,078520.KO,090430.KO,192820.KO,214420.KO,226320.KO,4137.TW,4452.TSE,4747.TWO,4911.TSE,4917.TSE,4921.TSE,4922.TSE,4927.TSE,PERF
2022-12-29,12.487710507119978,4.154641463956106,109.01969490342837,58.75170467159303,3.484665884367765,14.152738574735974,6.567796610169491,39.2442823847831,1.719361147327249,47.88965491316443,10.860128561762274,19.88463498985039,108.49043229832344,13.845846928802347,7.14
2022-12-30,12.480783555478073,4.152336878140006,108.95922151607841,58.71911501339208,3.4827329350048335,14.144888029541816,6.47423352902805,39.51367345382445,1.6312720156555773,49.12281323877069,11.023358499199269,20.359071150766415,109.43870128879739,14.04435369480668,7.14
2022-12-31,12.480783555478073,4.152336878140006,108.95922151607841,58.71911501339208,3.4827329350048335,14.144888029541816,6.47423352902805,39.51367345382445,1.6312720156555773,49.12281323877069,11.023358499199269,20.359071150766415,109.43870128879739,14.04435369480668,7.14
2023-01-01,12.480783555478073,4.152336878140006,108.95922151607841,58.71911501339208,3.4827329350048335,14.144888029541816,6.47423352902805,39.51367345382445,1.6312720156555773,49.12281323877069,11.023358499199269,20.359071150766415,109.43870128879739,14.04435369480668,7.14
2023-01-02,12.048003023812523,3.992377472596699,106.3059090336399,58.03515182058712,3.263985132921759,13.307924908655663,6.459485844451676,39.62851242829828,1.6275561340709404,49.2655793499044,11.055395793499043,20.418240917782025,109.7567640535373,14.085170936902486,7.14
2023-01-03,11.72250486483952,4.032541673504795,103.93954313491041,56.58062348095875,3.2823013621550654,13.32458052970092,6.475756589651806,39.5498664224105,1.557621217051741,49.16780780093123,11.03345546141516,20.377719258071902,109.5389428287917,14.057217769635907,7.2
2023-01-04,11.916091836493916,4.270916083971087,103.43010405933663,55.215158212664875,3.3506634470933387,13.56782733858218,6.453715775749674,38.23415592249115,1.5920013037809648,47.996843097338456,10.623242856065747,20.068909748925584,105.64978436251226,13.676487974063184,7.31
2023-01-05,11.925403463074401,4.346495735883696,107.87782737978488,56.3318400426804,3.41286217528774,13.926046807208593,6.477864583333334,38.239727906453794,1.5931087239583335,48.7011393448767,10.561132598755716,20.070688104340007,106.374827973915,13.70785173525223,7.018
2023-01-06,12.002934936914809,4.330627023750658,109.66136570271004,56.46563412183179,3.493212958384509,14.116408530457948,6.62414131501472,38.10680672268908,1.5657736342819757,50.00171246877129,10.56949882655765,19.81259822848058,108.26661518661518,13.777373760314937,7.36
2023-01-07,12.002934936914809,4.330627023750658,109.66136570271004,56.46563412183179,3.493212958384509,14.116408530457948,6.62414131501472,38.10680672268908,1.5657736342819757,50.00171246877129,10.56949882655765,19.81259822848058,108.26661518661518,13.777373760314937,7.36
2023-01-08,12.002934936914809,4.330627023750658,109.66136570271004,56.46563412183179,3.493212958384509,14.116408530457948,6.62414131501472,38.10680672268908,1.5657736342819757,50.00171246877129,10.56949882655765,19.81259822848058,108.26661518661518,13.777373760314937,7.36
2023-01-09,12.704789100500932,4.476925683033661,116.96472505223079,61.144318337648926,3.6420395421436003,15.044083601545546,6.676509186351706,38.1674863512284,1.5062992125984251,50.0813330300273,10.58632923870185,19.84414695177434,108.43901425538368,13.799312253563846,7.26
2023-01-10,13.615636228871594,4.374728090104897,112.79225278355166,60.34385523920014,3.637550152269541,14.824124651552504,6.570302233902759,38.01309617420233,1.4136103810775293,50.35139346741268,10.473794798124906,20.012412672009678,106.39681385150462,13.767151066081961,7.2
2023-01-11,13.118184378898233,4.506860890909823,115.89070862339544,60.60118305098386,3.6296326103577323,15.009456359905034,6.553876478318003,37.97974109299517,1.5548127463863337,49.20080917874397,10.36696708937198,19.529366696859906,101.48754830917875,13.31080993357488,6.9
2023-01-12,13.352050407015676,4.67120071641213,112.94785842792716,59.8623649668014,3.630466878040516,14.844575679098998,6.542518127883982,38.70300294026617,1.4166611733684904,49.06325750541628,10.40531104921077,19.473338749613124,100.48964097802536,13.276771897245435,7.28
2023-01-13,13.250490833730579,4.621512656642616,112.70996776252534,60.11198280668018,3.6923623847651674,15.108791377485476,6.782178217821782,38.7800304949566,1.4942937293729373,49.37879427633122,10.391623269997654,19.43815388224255,101.31695441394949,13.331758542497457,7.21
2023-01-14,13.250490833730579,4.621512656642616,112.70996776252534,60.11198280668018,3.6923623847651674,15.108791377485476,6.782178217821782,38.7800304949566,1.4942937293729373,49.37879427633122,10.391623269997654,19.43815388224255,101.31695441394949,13.331758542497457,7.21
2023-01-15,13.250490833730579,4.621512656642616,112.70996776252534,60.11198280668018,3.6923623847651674,15.108791377485476,6.782178217821782,38.7800304949566,1.4942937293729373,49.37879427633122,10.391623269997654,19.43815388224255,101.31695441394949,13.331758542497457,7.21
2023-01-16,13.285238087569848,4.726324095396061,114.73614711992141,60.3069292581201,3.7802541103721476,15.579961029968276,6.66776424102733,39.32187383322962,1.514972011853803,47.99872121966397,10.345147013067828,19.460458151835716,98.23437538892345,13.216068761667703,7.21
2023-01-17,13.374926256071246,4.719611440208826,116.7780570394136,60.4498177615788,3.7700320836599612,15.435715497943251,6.6732738685166835,39.74625848747366,1.526432111000991,48.35402715991571,10.410688363380942,19.51026379458363,99.41842425661439,13.159964098961993,7.45
2023-01-18,13.488300716414535,5.064170388737673,115.90246423984945,61.54542003537651,3.8243774785762175,15.345970874962646,6.653491436100132,39.81480294802172,1.521907114624506,49.08455546935609,10.486376260667184,19.725035686578742,101.37235608999224,13.311792086889062,7.34
