symbol,name,country,cap_index,shares,currency,indicies
4543.TSE,Terumo,Japan,Blue Chip,744608000,JPY,tech-100
2395.TW,Advantech,Taiwan,Blue Chip,778486976,TWD,tech-100
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY,tech-100
7751.TSE,Canon,Japan,Blue Chip,999128000,JPY,tech-100
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY,tech-100
6758.TSE,Sony,Japan,Blue Chip,1233980032,JPY,tech-100
3037.TW,Unimicron,Taiwan,Mid Cap,1523800064,TWD,tech-100
2454.TW,MediaTek,Taiwan,Blue Chip,1591800064,TWD,tech-100
CPNG,Coupang,South Korea,Blue Chip,1604060032,USD,tech-100
5347.TWO,Vanguard International Semiconductor,Taiwan,Mid Cap,1638979968,TWD,tech-100
6723.TSE,Renesas Electronics,Japan,Blue Chip,1765200000,JPY,tech-100
4755.TSE,Rakuten,Japan,Mid Cap,2135209984,JPY,tech-100
6752.TSE,Panasonic,Japan,Blue Chip,2334109952,JPY,tech-100
2308.TW,Delta Electronics,Taiwan,Blue Chip,2597540096,TWD,tech-100
2353.TW,Acer,Taiwan,Mid Cap,3001110016,TWD,tech-100
2408.TW,Nanya Technology,Taiwan,Mid Cap,3098040064,TWD,tech-100
6770.TW,Powerchip Semiconductor Manufacturing,Taiwan,Mid Cap,4065649920,TWD,tech-100
3711.TW,ASE Group,Taiwan,Blue Chip,4300490240,TWD,tech-100
005930.KO,Samsung,South Korea,Blue Chip,5969780224,KRW,tech-100
4689.TSE,Z Holdings,Japan,Blue Chip,7530570240,JPY,tech-100
2303.TW,United Microelectronics,Taiwan,Blue Chip,12503100416,TWD,tech-100
2317.TW,Foxconn (Hon Hai Precision Industry),Taiwan,Blue Chip,13861499904,TWD,tech-100
2330.TW,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,25931999232,TWD,tech-100
